tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-08-01,MUARA ANGKE,9,13,505,445
2019-08-02,MUARA ANGKE,13,22,957,626
2019-08-03,MUARA ANGKE,25,15,2958,603
2019-08-04,MUARA ANGKE,15,26,842,3547
2019-08-05,MUARA ANGKE,16,11,394,342
2019-08-06,MUARA ANGKE,10,10,468,354
2019-08-07,MUARA ANGKE,9,10,390,372
2019-08-08,MUARA ANGKE,8,10,241,568
2019-08-09,MUARA ANGKE,12,15,394,407
2019-08-10,MUARA ANGKE,17,11,971,435
2019-08-11,MUARA ANGKE,9,12,159,717
2019-08-12,MUARA ANGKE,10,10,614,342
2019-08-13,MUARA ANGKE,9,10,435,349
2019-08-14,MUARA ANGKE,11,10,286,369
2019-08-15,MUARA ANGKE,10,11,381,311
2019-08-16,MUARA ANGKE,13,26,722,347
2019-08-17,MUARA ANGKE,40,15,6702,648
2019-08-18,MUARA ANGKE,16,38,550,6636
2019-08-19,MUARA ANGKE,18,12,452,616
2019-08-20,MUARA ANGKE,10,11,385,450
2019-08-21,MUARA ANGKE,10,9,352,283
2019-08-22,MUARA ANGKE,10,13,416,372
2019-08-23,MUARA ANGKE,13,20,635,426
2019-08-24,MUARA ANGKE,23,15,3168,417
2019-08-25,MUARA ANGKE,12,24,589,3352
2019-08-26,MUARA ANGKE,16,10,468,359
2019-08-27,MUARA ANGKE,11,11,523,448
2019-08-28,MUARA ANGKE,9,10,325,480
2019-08-29,MUARA ANGKE,10,10,352,347
2019-08-30,MUARA ANGKE,10,21,526,417
2019-08-31,MUARA ANGKE,24,12,3687,547
2019-08-01,MARINA ANCOL,6,6,184,186
2019-08-02,MARINA ANCOL,12,12,336,270
2019-08-03,MARINA ANCOL,12,12,496,402
2019-08-04,MARINA ANCOL,10,10,275,252
2019-08-05,MARINA ANCOL,8,8,237,304
2019-08-06,MARINA ANCOL,8,8,280,209
2019-08-07,MARINA ANCOL,10,10,261,301
2019-08-08,MARINA ANCOL,5,5,212,251
2019-08-09,MARINA ANCOL,13,13,383,337
2019-08-10,MARINA ANCOL,11,11,277,311
2019-08-11,MARINA ANCOL,7,7,245,244
2019-08-12,MARINA ANCOL,5,5,185,148
2019-08-13,MARINA ANCOL,10,10,253,302
2019-08-14,MARINA ANCOL,9,9,213,294
2019-08-15,MARINA ANCOL,9,9,281,291
2019-08-16,MARINA ANCOL,14,14,494,204
2019-08-17,MARINA ANCOL,13,13,569,541
2019-08-18,MARINA ANCOL,11,11,715,695
2019-08-19,MARINA ANCOL,24,24,605,540
2019-08-20,MARINA ANCOL,10,10,331,325
2019-08-21,MARINA ANCOL,21,21,559,591
2019-08-22,MARINA ANCOL,19,19,611,587
2019-08-23,MARINA ANCOL,17,17,343,435
2019-08-24,MARINA ANCOL,10,10,387,336
2019-08-25,MARINA ANCOL,14,14,328,384
2019-08-26,MARINA ANCOL,15,15,438,429
2019-08-27,MARINA ANCOL,18,18,425,444
2019-08-28,MARINA ANCOL,16,16,349,344
2019-08-29,MARINA ANCOL,24,24,897,823
2019-08-30,MARINA ANCOL,16,16,336,480
2019-08-31,MARINA ANCOL,16,16,489,348
2019-08-01,UNTUNG JAWA,4,4,108,117
2019-08-02,UNTUNG JAWA,6,5,347,211
2019-08-03,UNTUNG JAWA,7,6,162,176
2019-08-04,UNTUNG JAWA,4,5,155,139
2019-08-05,UNTUNG JAWA,5,4,143,147
2019-08-06,UNTUNG JAWA,7,6,143,131
2019-08-07,UNTUNG JAWA,6,5,109,79
2019-08-08,UNTUNG JAWA,6,5,119,98
2019-08-09,UNTUNG JAWA,6,5,110,102
2019-08-10,UNTUNG JAWA,7,5,341,222
2019-08-11,UNTUNG JAWA,12,10,520,435
2019-08-12,UNTUNG JAWA,7,8,162,138
2019-08-13,UNTUNG JAWA,6,6,142,118
2019-08-14,UNTUNG JAWA,5,4,122,90
2019-08-15,UNTUNG JAWA,6,5,129,54
2019-08-16,UNTUNG JAWA,6,6,110,103
2019-08-17,UNTUNG JAWA,15,13,715,778
2019-08-18,UNTUNG JAWA,14,12,804,703
2019-08-19,UNTUNG JAWA,7,5,213,196
2019-08-20,UNTUNG JAWA,6,4,132,117
2019-08-21,UNTUNG JAWA,8,6,177,202
2019-08-22,UNTUNG JAWA,7,5,159,144
2019-08-23,UNTUNG JAWA,6,4,157,168
2019-08-24,UNTUNG JAWA,10,9,379,455
2019-08-25,UNTUNG JAWA,14,13,634,604
2019-08-26,UNTUNG JAWA,8,6,156,125
2019-08-27,UNTUNG JAWA,6,4,92,88
2019-08-28,UNTUNG JAWA,6,5,131,126
2019-08-29,UNTUNG JAWA,5,5,115,117
2019-08-30,UNTUNG JAWA,4,3,152,166
2019-08-31,UNTUNG JAWA,6,6,289,177
2019-08-01,LANCANG,4,4,42,46
2019-08-02,LANCANG,4,4,39,40
2019-08-03,LANCANG,4,4,66,91
2019-08-04,LANCANG,47,47,55,52
2019-08-05,LANCANG,4,4,69,51
