tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-04-01,P. MUARA ANGKE,10,7,638,244
2019-04-02,P. MUARA ANGKE,7,8,345,200
2019-04-03,P. MUARA ANGKE,7,5,446,286
2019-04-04,P. MUARA ANGKE,4,10,262,349
2019-04-05,P. MUARA ANGKE,9,19,565,325
2019-04-06,P. MUARA ANGKE,19,8,2297,401
2019-04-07,P. MUARA ANGKE,8,17,707,2417
2019-04-08,P. MUARA ANGKE,11,8,303,274
2019-04-09,P. MUARA ANGKE,7,7,384,252
2019-04-10,P. MUARA ANGKE,9,8,454,366
2019-04-11,P. MUARA ANGKE,5,10,193,386
2019-04-12,P. MUARA ANGKE,9,19,587,442
2019-04-13,P. MUARA ANGKE,18,7,2245,400
2019-04-14,P. MUARA ANGKE,6,17,428,2206
2019-04-15,P. MUARA ANGKE,14,7,750,228
2019-04-16,P. MUARA ANGKE,6,7,271,327
2019-04-17,P. MUARA ANGKE,7,8,251,392
2019-04-18,P. MUARA ANGKE,8,13,697,335
2019-04-19,P. MUARA ANGKE,17,19,3076,899
2019-04-20,P. MUARA ANGKE,20,17,1915,1622
2019-04-21,P. MUARA ANGKE,10,21,416,3249
2019-04-22,P. MUARA ANGKE,11,10,282,345
2019-04-23,P. MUARA ANGKE,9,7,317,214
2019-04-24,P. MUARA ANGKE,8,6,319,274
2019-04-25,P. MUARA ANGKE,7,10,287,310
2019-04-26,P. MUARA ANGKE,8,20,371,552
2019-04-27,P. MUARA ANGKE,21,10,2696,306
2019-04-28,P. MUARA ANGKE,10,20,953,2860
2019-04-29,P. MUARA ANGKE,14,9,936,295
2019-04-30,P. MUARA ANGKE,7,10,457,550
2019-04-01,MARINA ANCOL,11,11,288,295
2019-04-02,MARINA ANCOL,12,12,715,695
2019-04-03,MARINA ANCOL,24,24,605,540
2019-04-04,MARINA ANCOL,10,10,331,325
2019-04-05,MARINA ANCOL,21,21,559,591
2019-04-06,MARINA ANCOL,19,19,611,587
2019-04-07,MARINA ANCOL,17,17,343,435
2019-04-08,MARINA ANCOL,10,10,387,336
2019-04-09,MARINA ANCOL,14,14,328,384
2019-04-10,MARINA ANCOL,15,15,438,429
2019-04-11,MARINA ANCOL,18,18,425,444
2019-04-12,MARINA ANCOL,16,16,349,344
2019-04-13,MARINA ANCOL,24,24,897,823
2019-04-14,MARINA ANCOL,16,16,336,480
2019-04-15,MARINA ANCOL,16,16,489,348
2019-04-16,MARINA ANCOL,16,16,546,555
2019-04-17,MARINA ANCOL,10,10,429,452
2019-04-18,MARINA ANCOL,10,10,337,325
2019-04-19,MARINA ANCOL,21,21,928,800
2019-04-20,MARINA ANCOL,22,22,584,593
2019-04-21,MARINA ANCOL,19,19,412,896
2019-04-22,MARINA ANCOL,15,15,343,348
2019-04-23,MARINA ANCOL,18,18,382,435
2019-04-24,MARINA ANCOL,18,18,473,329
2019-04-25,MARINA ANCOL,23,23,641,855
2019-04-26,MARINA ANCOL,13,13,342,393
2019-04-27,MARINA ANCOL,24,24,1261,1291
2019-04-28,MARINA ANCOL,23,23,580,631
2019-04-29,MARINA ANCOL,18,18,601,553
2019-04-30,MARINA ANCOL,15,14,542,553
2019-04-01,UNTUNG JAWA,6,5,134,127
2019-04-02,UNTUNG JAWA,7,5,119,103
2019-04-03,UNTUNG JAWA,14,13,645,648
2019-04-04,UNTUNG JAWA,6,4,163,143
2019-04-05,UNTUNG JAWA,5,3,111,90
2019-04-06,UNTUNG JAWA,13,12,329,357
2019-04-07,UNTUNG JAWA,14,12,642,552
2019-04-08,UNTUNG JAWA,7,5,183,162
2019-04-09,UNTUNG JAWA,5,5,142,84
2019-04-10,UNTUNG JAWA,5,5,147,105
2019-04-11,UNTUNG JAWA,6,4,131,124
2019-04-12,UNTUNG JAWA,6,5,106,121
2019-04-13,UNTUNG JAWA,13,12,483,520
2019-04-14,UNTUNG JAWA,13,12,569,524
2019-04-15,UNTUNG JAWA,7,6,196,210
2019-04-16,UNTUNG JAWA,7,5,129,122
2019-04-17,UNTUNG JAWA,9,9,385,403
2019-04-18,UNTUNG JAWA,7,5,167,144
2019-04-19,UNTUNG JAWA,16,15,620,759
2019-04-20,UNTUNG JAWA,14,12,496,534
2019-04-21,UNTUNG JAWA,13,11,539,326
2019-04-22,UNTUNG JAWA,6,6,130,139
2019-04-23,UNTUNG JAWA,6,5,116,111
2019-04-24,UNTUNG JAWA,7,6,110,119
2019-04-25,UNTUNG JAWA,5,4,121,109
2019-04-26,UNTUNG JAWA,6,6,117,123
2019-04-27,UNTUNG JAWA,13,11,406,433
2019-04-28,UNTUNG JAWA,14,12,589,456
2019-04-29,UNTUNG JAWA,7,8,175,172
2019-04-30,UNTUNG JAWA,11,12,253,253
2019-04-01,LANCANG,4,4,69,86
2019-04-02,LANCANG,4,4,45,67
2019-04-03,LANCANG,4,4,87,63
2019-04-04,LANCANG,4,4,37,48
2019-04-05,LANCANG,4,4,86,121
2019-04-06,LANCANG,4,4,86,119
2019-04-07,LANCANG,4,4,142,110
2019-04-08,LANCANG,4,4,87,80
2019-04-09,LANCANG,4,4,72,79
2019-04-10,LANCANG,4,4,73,92
2019-04-11,LANCANG,4,4,72,66
2019-04-12,LANCANG,4,4,55,67
2019-04-13,LANCANG,4,4,116,113
2019-04-14,LANCANG,4,4,134,97
2019-04-15,LANCANG,4,4,71,79
2019-04-16,LANCANG,4,4,101,90
2019-04-17,LANCANG,2,2,69,53
2019-04-18,LANCANG,4,4,108,101
2019-04-19,LANCANG,4,4,70,158
2019-04-20,LANCANG,4,4,125,174
2019-04-21,LANCANG,4,4,226,102
2019-04-22,LANCANG,4,4,65,79
2019-04-23,LANCANG,4,4,61,83
2019-04-24,LANCANG,4,4,83,85
2019-04-25,LANCANG,4,4,70,83
2019-04-26,LANCANG,4,4,101,73
2019-04-27,LANCANG,4,4,82,97
2019-04-28,LANCANG,4,4,50,43
2019-04-29,LANCANG,4,4,60,145
2019-04-30,LANCANG,4,4,85,75
2019-04-01,PARI,4,4,119,145
2019-04-02,PARI,6,4,287,210
2019-04-03,PARI,5,6,156,211
2019-04-04,PARI,3,3,172,194
2019-04-05,PARI,4,5,131,363
2019-04-06,PARI,4,9,178,1023
2019-04-07,PARI,9,8,1068,428
2019-04-08,PARI,4,4,188,159
2019-04-09,PARI,5,6,153,176
2019-04-10,PARI,4,4,144,172
2019-04-11,PARI,5,4,152,95
2019-04-12,PARI,5,5,179,300
2019-04-13,PARI,6,9,233,861
2019-04-14,PARI,7,4,815,108
2019-04-15,PARI,4,4,141,178
2019-04-16,PARI,5,4,188,48
2019-04-17,PARI,4,4,21,46
2019-04-18,PARI,4,5,79,263
2019-04-19,PARI,5,10,239,1088
2019-04-20,PARI,8,7,729,639
2019-04-21,PARI,7,4,733,136
2019-04-22,PARI,4,5,154,153
