tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun,,,
2020-04-01,MUARA ANGKE,4,2,64,27,91,,3416
2020-04-02,MUARA ANGKE,0,3,0,29,29,,
2020-04-03,MUARA ANGKE,1,0,20,0,20,,
2020-04-04,MUARA ANGKE,1,0,31,0,31,,
2020-04-05,MUARA ANGKE,0,1,0,41,41,,
2020-04-06,MUARA ANGKE,3,2,55,33,88,,
2020-04-07,MUARA ANGKE,0,1,0,30,30,,
2020-04-08,MUARA ANGKE,1,2,11,0,11,,
2020-04-09,MUARA ANGKE,1,1,10,26,36,,
2020-04-10,MUARA ANGKE,0,0,0,0,0,,
2020-04-11,MUARA ANGKE,0,0,0,0,0,,
2020-04-12,MUARA ANGKE,1,1,21,0,21,,
2020-04-13,MUARA ANGKE,2,3,31,52,83,,
2020-04-14,MUARA ANGKE,1,1,17,4,21,,
2020-04-15,MUARA ANGKE,1,1,15,14,29,,
2020-04-16,MUARA ANGKE,1,0,17,0,17,,
2020-04-17,MUARA ANGKE,0,2,0,26,26,,
2020-04-18,MUARA ANGKE,2,0,20,0,20,,
2020-04-19,MUARA ANGKE,0,1,0,25,25,,
2020-04-20,MUARA ANGKE,3,3,46,32,78,,
2020-04-21,MUARA ANGKE,0,1,0,13,13,,
2020-04-22,MUARA ANGKE,1,0,20,0,20,,
2020-04-23,MUARA ANGKE,0,1,0,18,18,,
2020-04-24,MUARA ANGKE,0,0,0,0,0,,
2020-04-25,MUARA ANGKE,1,0,0,0,0,,
2020-04-26,MUARA ANGKE,0,1,0,13,13,,
2020-04-27,MUARA ANGKE,0,0,0,0,0,,
2020-04-28,MUARA ANGKE,1,0,0,0,0,,
2020-04-29,MUARA ANGKE,0,1,0,1,1,,
2020-04-30,MUARA ANGKE,1,0,0,0,0,,
2020-01-01,MARINA ANCOL,0,0,0,0,0,,
2020-01-02,MARINA ANCOL,0,0,0,0,0,,
2020-01-03,MARINA ANCOL,0,0,0,0,0,,
2020-01-04,MARINA ANCOL,0,0,0,0,0,,
2020-01-05,MARINA ANCOL,0,0,0,0,0,,
2020-01-06,MARINA ANCOL,0,0,0,0,0,,
2020-01-07,MARINA ANCOL,0,0,0,0,0,,
2020-01-08,MARINA ANCOL,0,0,0,0,0,,
2020-01-09,MARINA ANCOL,0,0,0,0,0,,
2020-01-10,MARINA ANCOL,0,0,0,0,0,,
2020-01-11,MARINA ANCOL,0,0,0,0,0,,
2020-01-12,MARINA ANCOL,0,0,0,0,0,,
2020-01-13,MARINA ANCOL,0,0,0,0,0,,
2020-01-14,MARINA ANCOL,0,0,0,0,0,,
2020-01-15,MARINA ANCOL,0,0,0,0,0,,
2020-01-16,MARINA ANCOL,0,0,0,0,0,,
2020-01-17,MARINA ANCOL,0,0,0,0,0,,
2020-01-18,MARINA ANCOL,0,0,0,0,0,,
2020-01-19,MARINA ANCOL,0,0,0,0,0,,
2020-01-20,MARINA ANCOL,0,0,0,0,0,,
2020-01-21,MARINA ANCOL,0,0,0,0,0,,
2020-01-22,MARINA ANCOL,0,0,0,0,0,,
2020-01-23,MARINA ANCOL,0,0,0,0,0,,
2020-01-24,MARINA ANCOL,0,0,0,0,0,,
2020-01-25,MARINA ANCOL,0,0,0,0,0,,
2020-01-26,MARINA ANCOL,0,0,0,0,0,,
2020-01-27,MARINA ANCOL,0,0,0,0,0,,
2020-01-28,MARINA ANCOL,0,0,0,0,0,,
2020-01-29,MARINA ANCOL,0,0,0,0,0,,
2020-01-30,MARINA ANCOL,0,0,0,0,0,,
2020-01-31,MARINA ANCOL,0,0,0,0,0,,
2020-04-01,UNTUNG JAWA,7,7,19,20,39,,
2020-04-02,UNTUNG JAWA,3,3,25,25,50,,
2020-04-03,UNTUNG JAWA,3,3,20,25,45,,
2020-04-04,UNTUNG JAWA,3,3,17,29,46,,
2020-04-05,UNTUNG JAWA,1,1,3,3,6,,
2020-04-06,UNTUNG JAWA,5,5,27,29,56,,
2020-04-07,UNTUNG JAWA,1,1,2,2,4,,
2020-04-08,UNTUNG JAWA,0,0,0,0,0,,
2020-04-09,UNTUNG JAWA,3,3,21,33,54,,
2020-04-10,UNTUNG JAWA,0,0,0,0,0,,
2020-04-11,UNTUNG JAWA,3,3,26,21,47,,
2020-04-12,UNTUNG JAWA,0,0,0,0,0,,
2020-04-13,UNTUNG JAWA,5,5,36,29,65,,
2020-04-14,UNTUNG JAWA,1,1,5,0,5,,
2020-04-15,UNTUNG JAWA,2,2,3,3,6,,
2020-04-16,UNTUNG JAWA,4,4,31,27,58,,
2020-04-17,UNTUNG JAWA,2,2,2,1,3,,
2020-04-18,UNTUNG JAWA,4,4,29,20,49,,
2020-04-19,UNTUNG JAWA,2,2,2,3,5,,
2020-04-20,UNTUNG JAWA,6,6,15,15,30,,
2020-04-21,UNTUNG JAWA,2,2,0,3,3,,
2020-04-22,UNTUNG JAWA,2,2,1,2,3,,
2020-04-23,UNTUNG JAWA,4,4,29,32,61,,
2020-04-24,UNTUNG JAWA,1,1,2,0,2,,
2020-04-25,UNTUNG JAWA,4,4,14,0,14,,
2020-04-26,UNTUNG JAWA,2,2,2,10,12,,
2020-04-27,UNTUNG JAWA,2,2,0,0,0,,
2020-04-28,UNTUNG JAWA,4,4,0,0,0,,
2020-04-29,UNTUNG JAWA,2,2,0,10,10,,
2020-04-30,UNTUNG JAWA,3,3,0,1,1,,
2020-04-01,LANCANG,3,3,22,14,36,,
2020-04-02,LANCANG,2,2,17,20,37,,
2020-04-03,LANCANG,2,2,12,10,22,,
2020-04-04,LANCANG,2,2,24,19,43,,
2020-04-05,LANCANG,2,2,16,16,32,,
2020-04-06,LANCANG,3,3,32,17,49,,
2020-04-07,LANCANG,2,2,9,11,20,,
2020-04-08,LANCANG,2,2,6,11,17,,
2020-04-09,LANCANG,2,2,7,12,19,,
2020-04-10,LANCANG,2,2,7,6,13,,
2020-04-11,LANCANG,2,2,6,11,17,,
2020-04-12,LANCANG,2,2,6,7,13,,
2020-04-13,LANCANG,3,3,8,25,33,,
2020-04-14,LANCANG,2,2,11,4,15,,
2020-04-15,LANCANG,2,2,5,15,20,,
2020-04-16,LANCANG,2,2,10,11,21,,
2020-04-17,LANCANG,2,2,6,5,11,,
2020-04-18,LANCANG,2,2,0,0,0,,
2020-04-19,LANCANG,2,2,0,0,0,,
2020-04-20,LANCANG,2,2,0,0,0,,
2020-04-21,LANCANG,2,2,0,0,0,,
2020-04-22,LANCANG,2,2,11,17,28,,
2020-04-23,LANCANG,2,2,8,5,13,,
2020-04-24,LANCANG,0,0,0,0,0,,
2020-04-25,LANCANG,0,0,0,0,0,,
2020-04-26,LANCANG,0,0,0,0,0,,
2020-04-27,LANCANG,0,0,0,0,0,,
2020-04-28,LANCANG,0,0,0,0,0,,
2020-04-29,LANCANG,0,0,0,0,0,,
2020-04-30,LANCANG,0,0,0,0,0,,
2020-04-01,PARI,2,2,0,4,4,,
2020-04-02,PARI,1,1,7,3,10,,
2020-04-03,PARI,0,0,0,0,0,,
2020-04-04,PARI,1,1,14,0,14,,
2020-04-05,PARI,1,1,0,4,4,,
2020-04-06,PARI,1,1,4,0,4,,
2020-04-07,PARI,0,0,0,0,0,,
2020-04-08,PARI,1,1,4,3,7,,
2020-04-09,PARI,0,0,0,0,0,,
2020-04-10,PARI,1,1,2,4,6,,
2020-04-11,PARI,0,0,0,0,0,,
2020-04-12,PARI,1,1,2,3,5,,
2020-04-13,PARI,1,1,3,2,5,,
2020-04-14,PARI,1,1,4,6,10,,
2020-04-15,PARI,0,0,0,0,0,,
2020-04-16,PARI,1,1,7,6,13,,
2020-04-17,PARI,0,0,0,0,0,,
2020-04-18,PARI,1,1,0,0,0,,
2020-04-19,PARI,0,0,0,0,0,,
2020-04-20,PARI,1,1,15,6,21,,
2020-04-21,PARI,0,0,0,0,0,,
2020-04-22,PARI,1,1,8,4,12,,
