tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-02-01,MUARA ANGKE,16,6,1929,337
2020-02-02,MUARA ANGKE,6,15,264,1708
2020-02-03,MUARA ANGKE,10,6,548,215
2020-02-04,MUARA ANGKE,6,6,276,283
2020-02-05,MUARA ANGKE,7,6,286,353
2020-02-06,MUARA ANGKE,6,7,249,346
2020-02-07,MUARA ANGKE,8,12,368,317
2020-02-08,MUARA ANGKE,16,8,1642,222
2020-02-09,MUARA ANGKE,7,15,586,1650
2020-02-10,MUARA ANGKE,10,7,456,274
2020-02-11,MUARA ANGKE,7,7,378,347
2020-02-12,MUARA ANGKE,7,6,309,384
2020-02-13,MUARA ANGKE,7,7,206,247
2020-02-14,MUARA ANGKE,9,14,458,343
2020-02-15,MUARA ANGKE,16,6,1929,196
2020-02-16,MUARA ANGKE,6,14,316,1879
2020-02-17,MUARA ANGKE,8,3,338,236
2020-02-18,MUARA ANGKE,6,9,275,347
2020-02-19,MUARA ANGKE,8,5,300,214
2020-02-20,MUARA ANGKE,5,8,256,311
2020-02-21,MUARA ANGKE,6,11,347,256
2020-02-22,MUARA ANGKE,18,6,1528,167
2020-02-23,MUARA ANGKE,5,18,180,1539
2020-02-24,MUARA ANGKE,7,4,430,101
2020-02-25,MUARA ANGKE,6,7,124,398
2020-02-26,MUARA ANGKE,7,5,340,213
2020-02-27,MUARA ANGKE,4,7,142,352
2020-02-28,MUARA ANGKE,7,12,426,321
2020-02-29,MUARA ANGKE,18,7,2098,451
2020-02-01,MARINA ANCOL,4,4,376,212
2020-02-02,MARINA ANCOL,3,3,115,220
2020-02-03,MARINA ANCOL,3,3,315,160
2020-02-04,MARINA ANCOL,3,3,133,89
2020-02-05,MARINA ANCOL,3,3,133,36
2020-02-06,MARINA ANCOL,3,3,119,137
2020-02-07,MARINA ANCOL,3,3,118,194
2020-02-08,MARINA ANCOL,4,4,414,379
2020-02-09,MARINA ANCOL,3,3,230,393
2020-02-10,MARINA ANCOL,3,3,165,125
2020-02-11,MARINA ANCOL,3,3,288,136
2020-02-12,MARINA ANCOL,3,3,151,43
2020-02-13,MARINA ANCOL,3,3,251,139
2020-02-14,MARINA ANCOL,4,4,237,410
2020-02-15,MARINA ANCOL,4,4,545,267
2020-02-16,MARINA ANCOL,2,2,140,150
2020-02-17,MARINA ANCOL,3,3,214,110
2020-02-18,MARINA ANCOL,3,3,222,156
2020-02-19,MARINA ANCOL,3,3,163,187
2020-02-20,MARINA ANCOL,4,4,148,177
2020-02-21,MARINA ANCOL,3,3,172,215
2020-02-22,MARINA ANCOL,3,3,361,266
2020-02-23,MARINA ANCOL,3,3,178,359
2020-02-24,MARINA ANCOL,3,3,219,59
2020-02-25,MARINA ANCOL,2,2,154,38
2020-02-26,MARINA ANCOL,3,3,148,130
2020-02-27,MARINA ANCOL,3,3,154,154
2020-02-28,MARINA ANCOL,3,3,169,127
2020-02-29,MARINA ANCOL,3,3,147,124
2020-02-01,UNTUNG JAWA,9,8,90,104
2020-02-02,UNTUNG JAWA,14,13,284,217
2020-02-03,UNTUNG JAWA,9,8,82,99
