tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-01-01,MUARA ANGKE,13,23,549,3989
2020-01-02,MUARA ANGKE,15,13,831,1374
2020-01-03,MUARA ANGKE,11,12,921,800
2020-01-04,MUARA ANGKE,17,7,1838,551
2020-01-05,MUARA ANGKE,7,15,600,1768
2020-01-06,MUARA ANGKE,9,6,327,291
2020-01-07,MUARA ANGKE,7,9,301,193
2020-01-08,MUARA ANGKE,7,8,333,254
2020-01-09,MUARA ANGKE,6,7,179,198
2020-01-10,MUARA ANGKE,8,10,289,266
2020-01-11,MUARA ANGKE,15,6,1117,142
2020-01-12,MUARA ANGKE,6,11,218,1084
2020-01-13,MUARA ANGKE,9,6,264,189
2020-01-14,MUARA ANGKE,6,8,255,126
2020-01-15,MUARA ANGKE,8,7,227,211
2020-01-16,MUARA ANGKE,6,9,232,197
2020-01-17,MUARA ANGKE,5,11,377,267
2020-01-18,MUARA ANGKE,15,7,883,230
2020-01-19,MUARA ANGKE,6,14,184,753
2020-01-20,MUARA ANGKE,9,5,329,229
2020-01-21,MUARA ANGKE,5,8,176,224
2020-01-22,MUARA ANGKE,6,6,190,173
2020-01-23,MUARA ANGKE,5,6,196,250
2020-01-24,MUARA ANGKE,7,15,376,307
2020-01-25,MUARA ANGKE,19,6,2785,169
2020-01-26,MUARA ANGKE,6,18,267,2608
2020-01-27,MUARA ANGKE,10,5,328,284
2020-01-28,MUARA ANGKE,7,8,478,322
2020-01-29,MUARA ANGKE,8,7,405,420
2020-01-30,MUARA ANGKE,6,9,177,474
2020-01-31,MUARA ANGKE,8,15,401,456
2020-01-01,MARINA ANCOL,3,3,229,342
2020-01-02,MARINA ANCOL,3,3,246,374
2020-01-03,MARINA ANCOL,3,2,314,265
2020-01-04,MARINA ANCOL,4,3,504,368
2020-01-05,MARINA ANCOL,4,4,214,378
2020-01-06,MARINA ANCOL,0,0,0,0
2020-01-07,MARINA ANCOL,0,0,0,0
2020-01-08,MARINA ANCOL,3,3,122,190
2020-01-09,MARINA ANCOL,3,2,124,93
2020-01-10,MARINA ANCOL,3,3,186,129
2020-01-11,MARINA ANCOL,4,4,384,292
2020-01-12,MARINA ANCOL,2,2,111,141
2020-01-13,MARINA ANCOL,3,3,251,162
2020-01-14,MARINA ANCOL,2,2,96,77
2020-01-15,MARINA ANCOL,3,3,168,105
2020-01-16,MARINA ANCOL,3,2,116,123
2020-01-17,MARINA ANCOL,3,3,173,218
2020-01-18,MARINA ANCOL,3,3,379,271
2020-01-19,MARINA ANCOL,3,3,181,314
2020-01-20,MARINA ANCOL,3,3,294,159
2020-01-21,MARINA ANCOL,3,3,232,206
2020-01-22,MARINA ANCOL,3,0,132,0
2020-01-23,MARINA ANCOL,2,2,121,150
2020-01-24,MARINA ANCOL,3,2,191,169
2020-01-25,MARINA ANCOL,4,4,469,452
2020-01-26,MARINA ANCOL,3,3,248,239
2020-01-27,MARINA ANCOL,3,0,249,0
2020-01-28,MARINA ANCOL,3,2,204,84
2020-01-29,MARINA ANCOL,3,2,210,152
2020-01-30,MARINA ANCOL,3,3,134,174
2020-01-31,MARINA ANCOL,3,4,175,218
2020-01-01,UNTUNG JAWA,15,15,445,452
2020-01-02,UNTUNG JAWA,5,4,45,52
2020-01-03,UNTUNG JAWA,4,4,70,60
2020-01-04,UNTUNG JAWA,6,6,104,130
2020-01-05,UNTUNG JAWA,8,6,454,377
2020-01-06,UNTUNG JAWA,8,6,121,108
2020-01-07,UNTUNG JAWA,8,6,112,129
2020-01-08,UNTUNG JAWA,8,6,94,55
2020-01-09,UNTUNG JAWA,4,4,56,63
2020-01-10,UNTUNG JAWA,6,5,70,80
2020-01-11,UNTUNG JAWA,8,6,124,230
2020-01-12,UNTUNG JAWA,10,11,560,510
2020-01-13,UNTUNG JAWA,5,4,94,75
2020-01-14,UNTUNG JAWA,3,2,50,29
2020-01-15,UNTUNG JAWA,5,5,15,107
2020-01-16,UNTUNG JAWA,4,4,94,80
2020-01-17,UNTUNG JAWA,5,6,103,95
2020-01-18,UNTUNG JAWA,10,7,215,262
2020-01-19,UNTUNG JAWA,10,8,412,356
2020-01-20,UNTUNG JAWA,5,4,83,84
2020-01-21,UNTUNG JAWA,4,4,65,89
2020-01-22,UNTUNG JAWA,5,4,83,84
2020-01-23,UNTUNG JAWA,5,4,83,84
2020-01-24,UNTUNG JAWA,5,4,83,84
2020-01-25,UNTUNG JAWA,5,4,83,84
2020-01-26,UNTUNG JAWA,11,10,432,396
2020-01-27,UNTUNG JAWA,6,5,78,68
2020-01-28,UNTUNG JAWA,6,5,88,103
2020-01-29,UNTUNG JAWA,6,5,108,107
2020-01-30,UNTUNG JAWA,7,6,112,118
2020-01-31,UNTUNG JAWA,6,5,90,90
2020-01-01,LANCANG,5,5,38,76
2020-01-02,LANCANG,5,5,98,118
2020-01-03,LANCANG,5,5,76,88
2020-01-04,LANCANG,4,4,89,93
2020-01-05,LANCANG,5,5,67,88
2020-01-06,LANCANG,5,5,75,81
2020-01-07,LANCANG,5,5,61,79
2020-01-08,LANCANG,6,6,68,65
2020-01-09,LANCANG,6,6,52,46
2020-01-10,LANCANG,6,6,79,51
2020-01-11,LANCANG,6,6,93,76
2020-01-12,LANCANG,6,6,106,96
2020-01-13,LANCANG,6,6,54,74
2020-01-14,LANCANG,6,6,56,71
2020-01-15,LANCANG,5,5,47,62
2020-01-16,LANCANG,5,5,68,60
2020-01-17,LANCANG,5,5,67,61
2020-01-18,LANCANG,5,5,85,82
2020-01-19,LANCANG,5,5,107,77
2020-01-20,LANCANG,5,5,50,65
2020-01-21,LANCANG,5,5,46,68
2020-01-22,LANCANG,5,5,62,63
2020-01-23,LANCANG,5,5,76,73
2020-01-24,LANCANG,5,5,59,48
2020-01-25,LANCANG,5,5,60,142
2020-01-26,LANCANG,5,5,176,108
2020-01-27,LANCANG,3,3,52,32
2020-01-28,LANCANG,3,3,54,56
2020-01-29,LANCANG,3,3,32,36
2020-01-30,LANCANG,3,3,40,40
2020-01-31,LANCANG,3,3,45,46
2020-01-01,PARI,5,4,885,178
2020-01-02,PARI,3,3,397,232
2020-01-03,PARI,3,2,213,149
2020-01-04,PARI,1,3,160,418
2020-01-05,PARI,3,2,559,135
2020-01-06,PARI,1,1,66,23
2020-01-07,PARI,1,1,34,50
2020-01-08,PARI,2,1,65,51
2020-01-09,PARI,1,1,35,32
2020-01-10,PARI,1,1,42,53
2020-01-11,PARI,1,2,51,254
2020-01-12,PARI,2,1,262,35
2020-01-13,PARI,1,1,45,41
