tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-06-01,MUARA ANGKE,1,0,9,0
2020-06-02,MUARA ANGKE,0,1,0,22
2020-06-03,MUARA ANGKE,1,0,11,0
2020-06-04,MUARA ANGKE,0,1,0,44
2020-06-05,MUARA ANGKE,0,0,0,0
2020-06-06,MUARA ANGKE,0,0,0,0
2020-06-07,MUARA ANGKE,0,0,0,0
2020-06-08,MUARA ANGKE,3,3,43,42
2020-06-09,MUARA ANGKE,3,5,38,57
2020-06-10,MUARA ANGKE,5,4,33,45
2020-06-11,MUARA ANGKE,5,4,38,62
2020-06-12,MUARA ANGKE,4,4,48,57
2020-06-13,MUARA ANGKE,4,4,133,62
2020-06-14,MUARA ANGKE,3,4,72,123
2020-06-15,MUARA ANGKE,4,3,100,66
2020-06-16,MUARA ANGKE,3,4,56,62
2020-06-17,MUARA ANGKE,5,3,95,73
2020-06-18,MUARA ANGKE,3,6,53,117
2020-06-19,MUARA ANGKE,5,7,81,84
2020-06-20,MUARA ANGKE,9,6,421,84
2020-06-21,MUARA ANGKE,4,7,133,267
2020-06-22,MUARA ANGKE,7,3,110,126
2020-06-23,MUARA ANGKE,3,5,92,141
2020-06-24,MUARA ANGKE,6,4,110,76
2020-06-25,MUARA ANGKE,4,5,113,111
2020-06-26,MUARA ANGKE,4,11,217,133
2020-06-27,MUARA ANGKE,11,6,645,131
2020-06-28,MUARA ANGKE,6,12,167,640
2020-06-29,MUARA ANGKE,7,6,236,228
2020-06-30,MUARA ANGKE,2,3,47,54
2020-06-01,MARINA ANCOL,0,0,0,0
2020-06-02,MARINA ANCOL,1,1,31,25
2020-06-03,MARINA ANCOL,0,0,0,0
2020-06-04,MARINA ANCOL,0,0,0,0
2020-06-05,MARINA ANCOL,0,0,0,0
2020-06-06,MARINA ANCOL,0,0,0,0
2020-06-07,MARINA ANCOL,0,0,0,0
2020-06-08,MARINA ANCOL,0,0,0,0
2020-06-09,MARINA ANCOL,0,0,0,0
2020-06-10,MARINA ANCOL,0,0,0,0
2020-06-11,MARINA ANCOL,0,0,0,0
2020-06-12,MARINA ANCOL,0,0,0,0
2020-06-13,MARINA ANCOL,0,0,0,0
2020-06-14,MARINA ANCOL,0,0,0,0
2020-06-15,MARINA ANCOL,0,0,0,0
2020-06-16,MARINA ANCOL,0,0,0,0
2020-06-17,MARINA ANCOL,0,0,0,0
2020-06-18,MARINA ANCOL,0,0,0,0
2020-06-19,MARINA ANCOL,0,0,0,0
2020-06-20,MARINA ANCOL,0,0,0,0
2020-06-21,MARINA ANCOL,0,0,0,0
2020-06-22,MARINA ANCOL,0,0,0,0
2020-06-23,MARINA ANCOL,0,0,0,0
2020-06-24,MARINA ANCOL,0,0,0,0
2020-06-25,MARINA ANCOL,0,0,0,0
2020-06-26,MARINA ANCOL,0,0,0,0
2020-06-27,MARINA ANCOL,0,0,0,0
2020-06-28,MARINA ANCOL,0,0,0,0
2020-06-29,MARINA ANCOL,0,0,0,0
2020-06-30,MARINA ANCOL,0,0,0,0
2020-06-01,UNTUNG JAWA,3,3,16,11
2020-06-02,UNTUNG JAWA,4,4,5,15
2020-06-03,UNTUNG JAWA,2,2,0,0
2020-06-04,UNTUNG JAWA,3,3,16,14
2020-06-05,UNTUNG JAWA,1,1,0,0
2020-06-06,UNTUNG JAWA,2,2,22,13
2020-06-07,UNTUNG JAWA,1,1,1,0
2020-06-08,UNTUNG JAWA,5,5,26,19
2020-06-09,UNTUNG JAWA,4,4,0,1
2020-06-10,UNTUNG JAWA,4,4,0,0
2020-06-11,UNTUNG JAWA,6,6,27,13
2020-06-12,UNTUNG JAWA,5,5,6,1
2020-06-13,UNTUNG JAWA,21,21,399,380
2020-06-14,UNTUNG JAWA,42,37,1270,1157
2020-06-15,UNTUNG JAWA,12,12,241,181
2020-06-16,UNTUNG JAWA,11,12,196,152
2020-06-17,UNTUNG JAWA,13,13,193,194
2020-06-18,UNTUNG JAWA,14,14,222,215
2020-06-19,UNTUNG JAWA,11,11,125,136
2020-06-20,UNTUNG JAWA,22,22,419,412
2020-06-21,UNTUNG JAWA,29,28,882,703
2020-06-22,UNTUNG JAWA,14,14,246,235
2020-06-23,UNTUNG JAWA,12,12,165,187
2020-06-24,UNTUNG JAWA,13,13,202,224
2020-06-25,UNTUNG JAWA,14,14,126,137
2020-06-26,UNTUNG JAWA,13,13,152,127
2020-06-27,UNTUNG JAWA,22,22,522,542
2020-06-28,UNTUNG JAWA,37,37,1031,997
2020-06-29,UNTUNG JAWA,15,15,288,232
2020-06-30,UNTUNG JAWA,16,16,307,280
2020-06-01,LANCANG,2,2,10,11
2020-06-02,LANCANG,2,2,22,23
2020-06-03,LANCANG,2,2,6,14
2020-06-04,LANCANG,2,2,10,14
2020-06-05,LANCANG,2,2,17,27
2020-06-06,LANCANG,2,2,27,56
2020-06-07,LANCANG,2,2,19,35
2020-06-08,LANCANG,2,2,20,30
2020-06-09,LANCANG,2,2,13,16
2020-06-10,LANCANG,3,3,16,32
2020-06-11,LANCANG,4,4,17,23
2020-06-12,LANCANG,4,4,25,45
2020-06-13,LANCANG,5,5,58,100
2020-06-14,LANCANG,5,5,86,62
2020-06-15,LANCANG,5,5,37,63
2020-06-16,LANCANG,5,5,44,70
2020-06-17,LANCANG,5,5,56,58
2020-06-18,LANCANG,5,5,56,36
2020-06-19,LANCANG,5,5,38,54
2020-06-20,LANCANG,5,5,68,185
2020-06-21,LANCANG,5,5,108,132
2020-06-22,LANCANG,5,5,103,76
2020-06-23,LANCANG,5,5,62,51
2020-06-24,LANCANG,5,5,48,54
2020-06-25,LANCANG,5,5,73,61
2020-06-26,LANCANG,5,5,68,99
2020-06-27,LANCANG,5,5,79,165
2020-06-28,LANCANG,5,5,113,65
2020-06-29,LANCANG,5,5,67,73
2020-06-30,LANCANG,5,5,57,52
2020-06-01,PARI,0,0,0,0
2020-06-02,PARI,2,2,22,17
2020-06-03,PARI,0,0,0,0
2020-06-04,PARI,1,1,8,12
2020-06-05,PARI,0,0,0,0
2020-06-06,PARI,1,1,17,15
2020-06-07,PARI,0,0,0,0
2020-06-08,PARI,2,2,20,16
2020-06-09,PARI,1,1,5,2
2020-06-10,PARI,2,2,10,13
2020-06-11,PARI,1,1,5,1
2020-06-12,PARI,2,2,6,8
2020-06-13,PARI,1,1,5,3
2020-06-14,PARI,2,2,20,10
2020-06-15,PARI,1,1,3,1
2020-06-16,PARI,2,2,15,10
2020-06-17,PARI,1,1,2,1
2020-06-18,PARI,1,1,4,3
2020-06-19,PARI,1,1,4,3
