tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-03-01,MUARA ANGKE,5,18,511,2212
2020-03-02,MUARA ANGKE,14,5,346,195
2020-03-03,MUARA ANGKE,5,7,199,224
2020-03-04,MUARA ANGKE,6,6,302,249
2020-03-05,MUARA ANGKE,6,6,126,276
2020-03-06,MUARA ANGKE,7,13,279,309
2020-03-07,MUARA ANGKE,15,6,1902,174
2020-03-08,MUARA ANGKE,4,15,206,1825
2020-03-09,MUARA ANGKE,10,5,211,262
2020-03-10,MUARA ANGKE,5,6,225,183
2020-03-11,MUARA ANGKE,7,5,352,213
2020-03-12,MUARA ANGKE,5,8,221,339
2020-03-13,MUARA ANGKE,9,15,388,262
2020-03-14,MUARA ANGKE,16,6,1776,345
2020-03-15,MUARA ANGKE,6,14,235,1708
2020-03-16,MUARA ANGKE,9,5,180,183
2020-03-17,MUARA ANGKE,5,6,203,118
2020-03-18,MUARA ANGKE,6,5,172,110
2020-03-19,MUARA ANGKE,5,6,111,176
2020-03-20,MUARA ANGKE,6,4,127,100
2020-03-21,MUARA ANGKE,5,3,111,41
2020-03-22,MUARA ANGKE,2,4,41,107
2020-03-23,MUARA ANGKE,5,3,83,62
2020-03-24,MUARA ANGKE,3,5,71,45
2020-03-25,MUARA ANGKE,5,2,91,19
2020-03-26,MUARA ANGKE,2,5,32,62
2020-03-27,MUARA ANGKE,3,2,39,29
2020-03-28,MUARA ANGKE,4,3,81,48
2020-03-29,MUARA ANGKE,3,4,69,77
2020-03-30,MUARA ANGKE,5,2,89,19
2020-03-31,MUARA ANGKE,1,2,8,32
2020-03-01,MARINA ANCOL,0,0,0,0
2020-03-02,MARINA ANCOL,0,0,0,0
2020-03-03,MARINA ANCOL,0,0,0,0
2020-03-04,MARINA ANCOL,0,0,0,0
2020-03-05,MARINA ANCOL,0,0,0,0
2020-03-06,MARINA ANCOL,0,0,0,0
2020-03-07,MARINA ANCOL,0,0,0,0
2020-03-08,MARINA ANCOL,0,0,0,0
2020-03-09,MARINA ANCOL,0,0,0,0
2020-03-10,MARINA ANCOL,0,0,0,0
2020-03-11,MARINA ANCOL,0,0,0,0
2020-03-12,MARINA ANCOL,0,0,0,0
2020-03-13,MARINA ANCOL,0,0,0,0
2020-03-14,MARINA ANCOL,0,0,0,0
2020-03-15,MARINA ANCOL,0,0,0,0
2020-03-16,MARINA ANCOL,0,0,0,0
2020-03-17,MARINA ANCOL,0,0,0,0
2020-03-18,MARINA ANCOL,0,0,0,0
2020-03-19,MARINA ANCOL,0,0,0,0
2020-03-20,MARINA ANCOL,0,0,0,0
2020-03-21,MARINA ANCOL,0,0,0,0
2020-03-22,MARINA ANCOL,0,0,0,0
2020-03-23,MARINA ANCOL,0,0,0,0
2020-03-24,MARINA ANCOL,0,0,0,0
2020-03-25,MARINA ANCOL,0,0,0,0
2020-03-26,MARINA ANCOL,0,0,0,0
2020-03-27,MARINA ANCOL,0,0,0,0
2020-03-28,MARINA ANCOL,0,0,0,0
2020-03-29,MARINA ANCOL,0,0,0,0
2020-03-30,MARINA ANCOL,0,0,0,0
2020-03-31,MARINA ANCOL,0,0,0,0
2020-03-01,UNTUNG JAWA,13,13,454,412
2020-03-02,UNTUNG JAWA,11,11,129,141
2020-03-03,UNTUNG JAWA,10,10,123,141
2020-03-04,UNTUNG JAWA,9,9,119,117
2020-03-05,UNTUNG JAWA,8,8,77,87
2020-03-06,UNTUNG JAWA,10,10,112,122
2020-03-07,UNTUNG JAWA,11,11,183,194
2020-03-08,UNTUNG JAWA,13,13,233,253
2020-03-09,UNTUNG JAWA,12,12,113,140
