tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-05-01,MUARA ANGKE,0,1,0,0
2020-05-02,MUARA ANGKE,1,0,0,0
2020-05-03,MUARA ANGKE,0,1,0,4
2020-05-04,MUARA ANGKE,1,0,2,0
2020-05-05,MUARA ANGKE,0,1,0,1
2020-05-06,MUARA ANGKE,1,0,0,0
2020-05-07,MUARA ANGKE,0,1,0,4
2020-05-08,MUARA ANGKE,0,0,0,0
2020-05-09,MUARA ANGKE,1,0,0,0
2020-05-10,MUARA ANGKE,0,1,0,4
2020-05-11,MUARA ANGKE,1,0,2,0
2020-05-12,MUARA ANGKE,0,1,0,0
2020-05-13,MUARA ANGKE,1,0,0,0
2020-05-14,MUARA ANGKE,0,1,0,11
2020-05-15,MUARA ANGKE,0,0,0,0
2020-05-16,MUARA ANGKE,1,0,4,0
2020-05-17,MUARA ANGKE,0,3,0,4
2020-05-18,MUARA ANGKE,3,3,16,5
2020-05-19,MUARA ANGKE,0,1,0,5
2020-05-20,MUARA ANGKE,1,0,1,0
2020-05-21,MUARA ANGKE,0,1,0,5
2020-05-22,MUARA ANGKE,1,0,5,0
2020-05-23,MUARA ANGKE,0,1,0,0
2020-05-24,MUARA ANGKE,0,0,0,0
2020-05-25,MUARA ANGKE,1,0,4,0
2020-05-26,MUARA ANGKE,0,1,0,52
2020-05-27,MUARA ANGKE,1,0,4,0
2020-05-28,MUARA ANGKE,0,1,0,47
2020-05-29,MUARA ANGKE,0,0,0,0
2020-05-30,MUARA ANGKE,1,0,13,0
2020-05-31,MUARA ANGKE,0,1,0,31
2020-05-01,MARINA ANCOL,0,0,0,0
2020-05-02,MARINA ANCOL,0,0,0,0
2020-05-03,MARINA ANCOL,0,0,0,0
2020-05-04,MARINA ANCOL,0,0,0,0
2020-05-05,MARINA ANCOL,2,2,40,34
2020-05-06,MARINA ANCOL,0,0,0,0
2020-05-07,MARINA ANCOL,0,0,0,0
2020-05-08,MARINA ANCOL,0,0,0,0
2020-05-09,MARINA ANCOL,0,0,0,0
2020-05-10,MARINA ANCOL,0,0,0,0
2020-05-11,MARINA ANCOL,0,0,0,0
2020-05-12,MARINA ANCOL,2,2,57,48
2020-05-13,MARINA ANCOL,0,0,0,0
2020-05-14,MARINA ANCOL,0,0,0,0
2020-05-15,MARINA ANCOL,0,0,0,0
2020-05-16,MARINA ANCOL,0,0,0,0
2020-05-17,MARINA ANCOL,0,0,0,0
2020-05-18,MARINA ANCOL,0,0,0,0
2020-05-19,MARINA ANCOL,2,2,44,46
2020-05-20,MARINA ANCOL,0,0,0,0
2020-05-21,MARINA ANCOL,0,0,0,0
2020-05-22,MARINA ANCOL,0,0,0,0
2020-05-23,MARINA ANCOL,0,0,0,0
2020-05-24,MARINA ANCOL,0,0,0,0
2020-05-25,MARINA ANCOL,0,0,0,0
2020-05-26,MARINA ANCOL,2,2,62,44
2020-05-27,MARINA ANCOL,0,0,0,0
2020-05-28,MARINA ANCOL,0,0,0,0
2020-05-29,MARINA ANCOL,0,0,0,0
2020-05-30,MARINA ANCOL,0,0,0,0
2020-05-31,MARINA ANCOL,0,0,0,0
2020-05-01,UNTUNG JAWA,2,2,0,0
2020-05-02,UNTUNG JAWA,3,3,0,0
2020-05-03,UNTUNG JAWA,2,2,4,0
2020-05-04,UNTUNG JAWA,3,3,1,0
2020-05-05,UNTUNG JAWA,4,4,2,0
2020-05-06,UNTUNG JAWA,2,2,0,0
2020-05-07,UNTUNG JAWA,3,3,0,0
2020-05-08,UNTUNG JAWA,2,2,1,0
2020-05-09,UNTUNG JAWA,3,3,0,0
2020-05-10,UNTUNG JAWA,2,2,0,0
2020-05-11,UNTUNG JAWA,3,3,7,0
2020-05-12,UNTUNG JAWA,4,4,4,0
2020-05-13,UNTUNG JAWA,2,2,2,0
2020-05-14,UNTUNG JAWA,4,4,7,0
2020-05-15,UNTUNG JAWA,1,1,0,0
2020-05-16,UNTUNG JAWA,4,4,1,0
2020-05-17,UNTUNG JAWA,2,2,0,0
2020-05-18,UNTUNG JAWA,5,5,5,0
2020-05-19,UNTUNG JAWA,6,6,32,0
2020-05-20,UNTUNG JAWA,3,3,0,0
2020-05-21,UNTUNG JAWA,3,3,0,0
2020-05-22,UNTUNG JAWA,3,3,0,0
2020-05-23,UNTUNG JAWA,3,3,0,0
2020-05-24,UNTUNG JAWA,0,0,0,0
2020-05-25,UNTUNG JAWA,3,3,1,0
2020-05-26,UNTUNG JAWA,5,5,30,0
2020-05-27,UNTUNG JAWA,3,3,0,0
2020-05-28,UNTUNG JAWA,4,4,16,0
2020-05-29,UNTUNG JAWA,2,2,0,0
2020-05-30,UNTUNG JAWA,3,3,10,0
2020-05-31,UNTUNG JAWA,2,2,0,0
2020-05-01,LANCANG,2,2,0,0
2020-05-02,LANCANG,2,2,0,1
2020-05-03,LANCANG,2,2,0,0
2020-05-04,LANCANG,2,2,0,0
2020-05-05,LANCANG,2,2,5,2
2020-05-06,LANCANG,2,2,3,3
2020-05-07,LANCANG,2,2,3,0
2020-05-08,LANCANG,2,2,1,0
2020-05-09,LANCANG,2,2,3,2
2020-05-10,LANCANG,2,2,1,4
2020-05-11,LANCANG,2,2,0,2
2020-05-12,LANCANG,2,2,4,0
2020-05-13,LANCANG,2,2,1,1
2020-05-14,LANCANG,2,2,8,6
2020-05-15,LANCANG,2,2,4,1
2020-05-16,LANCANG,2,2,4,4
2020-05-17,LANCANG,2,2,6,4
2020-05-18,LANCANG,2,2,8,6
2020-05-19,LANCANG,2,2,7,11
2020-05-20,LANCANG,2,2,9,6
2020-05-21,LANCANG,2,2,9,9
2020-05-22,LANCANG,2,2,11,9
2020-05-23,LANCANG,2,2,11,15
2020-05-24,LANCANG,2,2,17,23
2020-05-25,LANCANG,2,2,47,56
2020-05-26,LANCANG,2,2,28,41
2020-05-27,LANCANG,2,2,15,32
2020-05-28,LANCANG,2,2,4,11
2020-05-29,LANCANG,2,2,8,10
2020-05-30,LANCANG,2,2,15,32
2020-05-31,LANCANG,2,2,11,15
2020-05-01,PARI,0,0,0,0
2020-05-02,PARI,1,1,0,0
2020-05-03,PARI,0,0,0,0
2020-05-04,PARI,1,1,3,0
2020-05-05,PARI,0,0,0,0
2020-05-06,PARI,1,1,0,0
2020-05-07,PARI,0,0,0,0
2020-05-08,PARI,1,1,0,0
2020-05-09,PARI,0,0,0,0
2020-05-10,PARI,1,1,2,0
2020-05-11,PARI,0,0,0,0
2020-05-12,PARI,2,3,1,3
2020-05-13,PARI,0,0,0,0
2020-05-14,PARI,1,1,2,4
2020-05-15,PARI,0,0,0,0
2020-05-16,PARI,1,1,2,5
2020-05-17,PARI,0,0,0,0
2020-05-18,PARI,1,1,3,7
2020-05-19,PARI,1,1,1,0
2020-05-20,PARI,1,1,4,1
2020-05-21,PARI,0,0,0,0
2020-05-22,PARI,1,1,3,2
2020-05-23,PARI,0,0,0,0
2020-05-24,PARI,0,0,0,0
2020-05-25,PARI,0,0,0,0
2020-05-26,PARI,1,1,1,6
2020-05-27,PARI,1,1,12,3
2020-05-28,PARI,0,1,1,0
2020-05-29,PARI,1,1,13,13
2020-05-30,PARI,0,1,0,1
2020-05-31,PARI,1,1,11,10
2020-05-01,TIDUNG/PAYUNG,1,1,2,0
2020-05-02,TIDUNG/PAYUNG,1,1,0,0
2020-05-03,TIDUNG/PAYUNG,1,1,0,0
2020-05-04,TIDUNG/PAYUNG,1,1,1,0
2020-05-05,TIDUNG/PAYUNG,2,2,13,14
2020-05-06,TIDUNG/PAYUNG,1,1,5,1
2020-05-07,TIDUNG/PAYUNG,1,1,3,8
2020-05-08,TIDUNG/PAYUNG,1,1,1,1
2020-05-09,TIDUNG/PAYUNG,1,1,3,4
2020-05-10,TIDUNG/PAYUNG,1,1,1,1
2020-05-11,TIDUNG/PAYUNG,1,1,0,0
2020-05-12,TIDUNG/PAYUNG,2,2,13,15
2020-05-13,TIDUNG/PAYUNG,1,1,4,4
2020-05-14,TIDUNG/PAYUNG,1,1,1,3
2020-05-15,TIDUNG/PAYUNG,1,1,3,3
