tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-04-01,P. MUARA ANGKE,7,17,278,205
2020-04-02,P. MUARA ANGKE,16,17,1356,261
2020-04-03,P. MUARA ANGKE,17,10,1269,628
2020-04-04,P. MUARA ANGKE,7,20,240,1572
2020-04-05,P. MUARA ANGKE,13,6,272,168
2020-04-06,P. MUARA ANGKE,7,6,223,183
2020-04-07,P. MUARA ANGKE,6,9,244,194
2020-04-08,P. MUARA ANGKE,8,8,337,257
2020-04-09,P. MUARA ANGKE,7,15,372,321
2020-04-10,P. MUARA ANGKE,18,7,1092,94
2020-04-11,P. MUARA ANGKE,8,16,322,1121
2020-04-12,P. MUARA ANGKE,10,6,179,283
2020-04-13,P. MUARA ANGKE,5,5,135,96
2020-04-14,P. MUARA ANGKE,5,4,96,66
2020-04-15,P. MUARA ANGKE,4,6,114,96
2020-04-16,P. MUARA ANGKE,4,5,95,90
2020-04-17,P. MUARA ANGKE,8,4,195,100
2020-04-18,P. MUARA ANGKE,4,8,107,186
2020-04-19,P. MUARA ANGKE,8,5,123,78
2020-04-20,P. MUARA ANGKE,5,6,94,85
2020-04-21,P. MUARA ANGKE,5,4,124,67
2020-04-22,P. MUARA ANGKE,4,6,98,106
2020-04-23,P. MUARA ANGKE,4,6,90,142
2020-04-24,P. MUARA ANGKE,9,4,208,102
2020-04-25,P. MUARA ANGKE,4,8,141,202
2020-04-26,P. MUARA ANGKE,8,4,176,90
2020-04-27,P. MUARA ANGKE,4,6,125,88
2020-04-28,P. MUARA ANGKE,6,4,112,117
2020-04-29,P. MUARA ANGKE,4,6,96,171
2020-04-30,P. MUARA ANGKE,4,11,144,178
2020-04-01,MARINA ANCOL,4,4,41,48
2020-04-02,MARINA ANCOL,4,6,46,262
2020-04-03,MARINA ANCOL,7,7,201,133
2020-04-04,MARINA ANCOL,6,7,214,82
2020-04-05,MARINA ANCOL,3,3,20,39
2020-04-06,MARINA ANCOL,1,1,3,32
2020-04-07,MARINA ANCOL,3,3,39,31
2020-04-08,MARINA ANCOL,4,4,37,15
2020-04-09,MARINA ANCOL,4,5,34,61
2020-04-10,MARINA ANCOL,5,5,86,165
2020-04-11,MARINA ANCOL,7,7,180,70
2020-04-12,MARINA ANCOL,3,3,37,30
2020-04-13,MARINA ANCOL,2,2,5,25
2020-04-14,MARINA ANCOL,3,3,5,7
2020-04-15,MARINA ANCOL,3,2,16,2
2020-04-16,MARINA ANCOL,2,1,2,5
2020-04-17,MARINA ANCOL,4,4,29,32
2020-04-18,MARINA ANCOL,3,3,16,14
2020-04-19,MARINA ANCOL,3,3,7,3
2020-04-20,MARINA ANCOL,2,2,5,13
2020-04-21,MARINA ANCOL,3,4,7,28
2020-04-22,MARINA ANCOL,2,4,3,21
2020-04-23,MARINA ANCOL,3,3,21,9
2020-04-24,MARINA ANCOL,3,3,9,18
2020-04-25,MARINA ANCOL,3,3,33,11
2020-04-26,MARINA ANCOL,2,2,6,17
2020-04-27,MARINA ANCOL,1,1,5,11
2020-04-28,MARINA ANCOL,3,3,7,14
2020-04-29,MARINA ANCOL,1,2,0,10
2020-04-30,MARINA ANCOL,3,3,16,9
2020-04-01,UNTUNG JAWA,10,10,87,88
2020-04-02,UNTUNG JAWA,20,20,472,468
2020-04-03,UNTUNG JAWA,21,21,562,576
2020-04-04,UNTUNG JAWA,27,27,671,657
2020-04-05,UNTUNG JAWA,9,9,118,117
2020-04-06,UNTUNG JAWA,11,11,116,108
2020-04-07,UNTUNG JAWA,11,11,140,141
2020-04-08,UNTUNG JAWA,11,11,107,109
2020-04-09,UNTUNG JAWA,10,10,98,98
2020-04-10,UNTUNG JAWA,15,15,271,315
2020-04-11,UNTUNG JAWA,33,33,1033,982
2020-04-12,UNTUNG JAWA,10,10,157,144
2020-04-13,UNTUNG JAWA,8,8,66,72
2020-04-14,UNTUNG JAWA,8,8,47,44
2020-04-15,UNTUNG JAWA,7,7,30,36
2020-04-16,UNTUNG JAWA,7,7,28,44
2020-04-17,UNTUNG JAWA,9,9,43,44
2020-04-18,UNTUNG JAWA,9,9,56,55
2020-04-19,UNTUNG JAWA,8,8,39,39
2020-04-20,UNTUNG JAWA,7,7,34,37
2020-04-21,UNTUNG JAWA,7,7,56,62
2020-04-22,UNTUNG JAWA,8,8,43,47
2020-04-23,UNTUNG JAWA,7,7,48,50
2020-04-24,UNTUNG JAWA,9,9,47,60
2020-04-25,UNTUNG JAWA,9,9,68,59
2020-04-26,UNTUNG JAWA,8,8,41,44
2020-04-27,UNTUNG JAWA,8,8,29,37
2020-04-28,UNTUNG JAWA,8,8,40,27
2020-04-29,UNTUNG JAWA,7,7,24,29
2020-04-30,UNTUNG JAWA,7,7,31,40
2020-04-01,LANCANG,6,6,38,25
2020-04-02,LANCANG,5,5,54,56
2020-04-03,LANCANG,5,4,67,72
2020-04-04,LANCANG,5,5,87,31
2020-04-05,LANCANG,5,5,55,54
2020-04-06,LANCANG,5,5,43,35
2020-04-07,LANCANG,4,4,44,28
2020-04-08,LANCANG,5,5,48,22
2020-04-09,LANCANG,5,5,70,23
2020-04-10,LANCANG,6,6,52,45
2020-04-11,LANCANG,6,6,106,39
2020-04-12,LANCANG,6,6,70,24
2020-04-13,LANCANG,5,5,30,15
2020-04-14,LANCANG,6,6,55,20
2020-04-15,LANCANG,6,6,35,15
2020-04-16,LANCANG,6,6,32,10
2020-04-17,LANCANG,6,6,31,22
2020-04-18,LANCANG,6,6,51,12
