tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-02-01,P. MUARA ANGKE,6,4,96,86
2020-02-02,P. MUARA ANGKE,4,5,79,81
2020-02-03,P. MUARA ANGKE,5,4,113,57
2020-02-04,P. MUARA ANGKE,4,6,125,128
2020-02-05,P. MUARA ANGKE,5,6,166,108
2020-02-06,P. MUARA ANGKE,5,2,249,71
2020-02-07,P. MUARA ANGKE,2,4,45,216
2020-02-08,P. MUARA ANGKE,5,1,110,24
2020-02-09,P. MUARA ANGKE,3,5,58,88
2020-02-10,P. MUARA ANGKE,6,4,85,81
2020-02-11,P. MUARA ANGKE,4,6,82,127
2020-02-12,P. MUARA ANGKE,6,6,315,63
2020-02-13,P. MUARA ANGKE,7,4,262,91
2020-02-14,P. MUARA ANGKE,4,6,145,203
2020-02-15,P. MUARA ANGKE,7,4,149,80
2020-02-16,P. MUARA ANGKE,4,6,150,128
2020-02-17,P. MUARA ANGKE,6,4,107,70
2020-02-18,P. MUARA ANGKE,4,5,83,102
2020-02-19,P. MUARA ANGKE,4,5,87,91
2020-02-20,P. MUARA ANGKE,4,2,264,16
2020-02-21,P. MUARA ANGKE,4,5,67,165
2020-02-22,P. MUARA ANGKE,7,4,107,104
2020-02-23,P. MUARA ANGKE,4,5,82,79
2020-02-24,P. MUARA ANGKE,5,3,89,70
2020-02-25,P. MUARA ANGKE,3,6,68,116
2020-02-26,P. MUARA ANGKE,5,7,116,125
2020-02-27,P. MUARA ANGKE,9,5,336,84
2020-02-28,P. MUARA ANGKE,5,8,213,381
2020-02-01,MARINA ANCOL,3,3,12,21
2020-02-02,MARINA ANCOL,2,2,0,9
2020-02-03,MARINA ANCOL,1,1,3,10
2020-02-04,MARINA ANCOL,2,2,8,16
2020-02-05,MARINA ANCOL,1,2,0,2
2020-02-06,MARINA ANCOL,3,3,14,22
2020-02-07,MARINA ANCOL,3,3,57,7
2020-02-08,MARINA ANCOL,4,4,37,21
2020-02-09,MARINA ANCOL,2,2,4,6
2020-02-10,MARINA ANCOL,3,3,11,9
2020-02-11,MARINA ANCOL,3,3,5,22
2020-02-12,MARINA ANCOL,2,2,1,76
2020-02-13,MARINA ANCOL,2,2,42,40
2020-02-14,MARINA ANCOL,3,3,150,11
2020-02-15,MARINA ANCOL,2,2,17,34
2020-02-16,MARINA ANCOL,3,3,18,17
2020-02-17,MARINA ANCOL,2,3,2,21
2020-02-18,MARINA ANCOL,0,1,0,4
2020-02-19,MARINA ANCOL,3,3,9,7
2020-02-20,MARINA ANCOL,4,4,22,21
2020-02-21,MARINA ANCOL,3,3,19,8
2020-02-22,MARINA ANCOL,2,2,7,13
2020-02-23,MARINA ANCOL,1,1,9,20
2020-02-24,MARINA ANCOL,3,3,10,17
2020-02-25,MARINA ANCOL,3,3,11,8
2020-02-26,MARINA ANCOL,3,3,10,9
2020-02-27,MARINA ANCOL,3,3,24,45
2020-02-28,MARINA ANCOL,3,3,25,15
2020-02-01,UNTUNG JAWA,7,7,58,61
2020-02-02,UNTUNG JAWA,7,7,26,32
2020-02-03,UNTUNG JAWA,4,4,3,2
2020-02-04,UNTUNG JAWA,7,7,49,44
2020-02-05,UNTUNG JAWA,4,4,8,1
2020-02-06,UNTUNG JAWA,0,0,0,0
2020-02-07,UNTUNG JAWA,2,2,23,23
2020-02-08,UNTUNG JAWA,0,0,0,0
2020-02-09,UNTUNG JAWA,6,6,46,33
2020-02-10,UNTUNG JAWA,6,6,36,35
2020-02-11,UNTUNG JAWA,6,6,39,40
2020-02-12,UNTUNG JAWA,6,6,25,32
2020-02-13,UNTUNG JAWA,6,6,35,43
2020-02-14,UNTUNG JAWA,7,7,49,52
2020-02-15,UNTUNG JAWA,6,6,47,38
2020-02-16,UNTUNG JAWA,6,6,34,30
2020-02-17,UNTUNG JAWA,6,6,36,35
2020-02-18,UNTUNG JAWA,6,6,54,48
2020-02-19,UNTUNG JAWA,4,4,7,5
2020-02-20,UNTUNG JAWA,2,2,26,26
2020-02-21,UNTUNG JAWA,8,8,98,80
2020-02-22,UNTUNG JAWA,7,7,85,78
2020-02-23,UNTUNG JAWA,7,7,47,52
2020-02-24,UNTUNG JAWA,7,7,66,68
2020-02-25,UNTUNG JAWA,6,6,44,49
2020-02-26,UNTUNG JAWA,6,6,44,35
2020-02-27,UNTUNG JAWA,8,8,73,77
2020-02-28,UNTUNG JAWA,11,11,211,208
2020-02-01,LANCANG,5,5,30,36
2020-02-02,LANCANG,5,5,31,29
2020-02-03,LANCANG,6,6,44,43
2020-02-04,LANCANG,5,5,46,30
2020-02-05,LANCANG,6,6,47,39
2020-02-06,LANCANG,4,4,54,77
2020-02-07,LANCANG,4,4,77,0
2020-02-08,LANCANG,1,1,28,0
2020-02-09,LANCANG,5,5,20,22
2020-02-10,LANCANG,6,5,19,18
2020-02-11,LANCANG,6,6,31,28
2020-02-12,LANCANG,6,6,31,44
