tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-01-01,P. MUARA ANGKE,16,19,896,1276
2020-01-02,P. MUARA ANGKE,20,16,863,1101
2020-01-03,P. MUARA ANGKE,11,15,277,1033
2020-01-04,P. MUARA ANGKE,10,6,340,231
2020-01-05,P. MUARA ANGKE,6,8,172,204
2020-01-06,P. MUARA ANGKE,8,6,213,282
2020-01-07,P. MUARA ANGKE,6,8,121,127
2020-01-08,P. MUARA ANGKE,6,13,271,176
2020-01-09,P. MUARA ANGKE,16,5,807,83
2020-01-10,P. MUARA ANGKE,5,14,172,743
2020-01-11,P. MUARA ANGKE,9,7,187,241
2020-01-12,P. MUARA ANGKE,8,7,171,140
2020-01-13,P. MUARA ANGKE,8,6,126,145
2020-01-14,P. MUARA ANGKE,6,7,100,142
2020-01-15,P. MUARA ANGKE,5,8,136,144
2020-01-16,P. MUARA ANGKE,11,4,399,68
2020-01-17,P. MUARA ANGKE,4,9,87,365
2020-01-18,P. MUARA ANGKE,7,6,129,96
2020-01-19,P. MUARA ANGKE,5,2,66,37
2020-01-20,P. MUARA ANGKE,5,5,75,61
2020-01-21,P. MUARA ANGKE,5,5,90,74
2020-01-22,P. MUARA ANGKE,4,6,78,64
2020-01-23,P. MUARA ANGKE,7,4,221,57
2020-01-24,P. MUARA ANGKE,2,6,43,146
2020-01-25,P. MUARA ANGKE,7,5,136,122
2020-01-26,P. MUARA ANGKE,5,6,86,110
2020-01-27,P. MUARA ANGKE,6,4,116,62
2020-01-28,P. MUARA ANGKE,5,5,53,86
2020-01-29,P. MUARA ANGKE,3,7,100,109
2020-01-30,P. MUARA ANGKE,8,3,285,47
2020-01-31,P. MUARA ANGKE,4,7,88,246
2020-01-01,MARINA ANCOL,3,2,213,121
2020-01-02,MARINA ANCOL,4,4,182,105
2020-01-03,MARINA ANCOL,8,6,265,64
2020-01-04,MARINA ANCOL,3,3,32,86
2020-01-05,MARINA ANCOL,3,3,34,20
2020-01-06,MARINA ANCOL,3,3,72,15
2020-01-07,MARINA ANCOL,2,2,4,20
2020-01-08,MARINA ANCOL,4,4,14,27
2020-01-09,MARINA ANCOL,3,4,8,73
2020-01-10,MARINA ANCOL,5,4,108,22
2020-01-11,MARINA ANCOL,2,2,1,20
2020-01-12,MARINA ANCOL,3,3,7,11
2020-01-13,MARINA ANCOL,2,2,9,4
2020-01-14,MARINA ANCOL,0,1,0,2
2020-01-15,MARINA ANCOL,1,2,0,14
2020-01-16,MARINA ANCOL,3,3,16,13
2020-01-17,MARINA ANCOL,3,3,7,15
2020-01-18,MARINA ANCOL,3,2,16,5
2020-01-19,MARINA ANCOL,3,3,14,14
2020-01-20,MARINA ANCOL,2,2,18,18
2020-01-21,MARINA ANCOL,3,3,6,6
2020-01-22,MARINA ANCOL,3,3,6,5
2020-01-23,MARINA ANCOL,3,3,11,34
2020-01-24,MARINA ANCOL,2,2,25,6
2020-01-25,MARINA ANCOL,3,3,8,18
2020-01-26,MARINA ANCOL,3,3,8,10
2020-01-27,MARINA ANCOL,2,2,7,6
2020-01-28,MARINA ANCOL,2,3,2,13
2020-01-29,MARINA ANCOL,3,3,7,13
2020-01-30,MARINA ANCOL,3,3,7,14
2020-01-31,MARINA ANCOL,3,3,35,18
2020-01-01,UNTUNG JAWA,64,64,2172,2134
2020-01-02,UNTUNG JAWA,59,59,1834,1828
2020-01-03,UNTUNG JAWA,40,40,1285,1178
2020-01-04,UNTUNG JAWA,10,10,151,136
2020-01-05,UNTUNG JAWA,9,9,101,101
