tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2021-07-01,P. MUARA ANGKE,4,5,54,111
2021-07-02,P. MUARA ANGKE,4,4,132,78
2021-07-03,P. MUARA ANGKE,6,3,212,47
2021-07-04,P. MUARA ANGKE,3,6,35,148
2021-07-05,P. MUARA ANGKE,5,3,90,46
2021-07-06,P. MUARA ANGKE,3,4,39,36
2021-07-07,P. MUARA ANGKE,4,3,35,24
2021-07-08,P. MUARA ANGKE,3,4,30,47
2021-07-09,P. MUARA ANGKE,3,4,32,39
2021-07-10,P. MUARA ANGKE,5,2,55,25
2021-07-11,P. MUARA ANGKE,2,3,17,39
2021-07-12,P. MUARA ANGKE,3,3,45,24
2021-07-13,P. MUARA ANGKE,3,3,18,30
2021-07-14,P. MUARA ANGKE,3,3,27,9
2021-07-15,P. MUARA ANGKE,3,4,14,29
2021-07-16,P. MUARA ANGKE,3,3,38,43
2021-07-17,P. MUARA ANGKE,4,6,61,42
2021-07-18,P. MUARA ANGKE,4,4,32,47
2021-07-19,P. MUARA ANGKE,6,3,76,31
2021-07-20,P. MUARA ANGKE,0,0,0,0
2021-07-21,P. MUARA ANGKE,4,4,54,79
2021-07-22,P. MUARA ANGKE,4,5,37,77
2021-07-23,P. MUARA ANGKE,4,4,32,57
2021-07-24,P. MUARA ANGKE,5,3,60,37
2021-07-25,P. MUARA ANGKE,3,6,39,97
2021-07-26,P. MUARA ANGKE,5,4,69,63
2021-07-27,P. MUARA ANGKE,5,5,32,50
2021-07-28,P. MUARA ANGKE,5,5,59,33
2021-07-29,P. MUARA ANGKE,4,4,45,24
2021-07-30,P. MUARA ANGKE,4,5,41,52
2021-07-31,P. MUARA ANGKE,5,4,61,48
2021-07-01,MARINA ANCOL,1,1,7,1
2021-07-02,MARINA ANCOL,5,5,82,62
2021-07-03,MARINA ANCOL,2,2,6,24
2021-07-04,MARINA ANCOL,2,2,18,1
2021-07-05,MARINA ANCOL,2,2,2,17
2021-07-06,MARINA ANCOL,1,1,3,5
2021-07-07,MARINA ANCOL,2,2,3,8
2021-07-08,MARINA ANCOL,0,0,0,0
2021-07-09,MARINA ANCOL,0,0,0,0
2021-07-10,MARINA ANCOL,0,0,0,0
2021-07-11,MARINA ANCOL,0,0,0,0
2021-07-12,MARINA ANCOL,0,0,0,0
2021-07-13,MARINA ANCOL,0,0,0,0
2021-07-14,MARINA ANCOL,0,0,0,0
2021-07-15,MARINA ANCOL,0,0,0,0
2021-07-16,MARINA ANCOL,0,0,0,0
2021-07-17,MARINA ANCOL,0,0,0,0
2021-07-18,MARINA ANCOL,0,0,0,0
2021-07-19,MARINA ANCOL,0,0,0,0
2021-07-20,MARINA ANCOL,0,0,0,0
2021-07-21,MARINA ANCOL,0,0,0,0
2021-07-22,MARINA ANCOL,1,1,0,7
2021-07-23,MARINA ANCOL,0,0,0,0
2021-07-24,MARINA ANCOL,0,0,0,0
2021-07-25,MARINA ANCOL,0,0,0,0
2021-07-26,MARINA ANCOL,0,0,0,0
2021-07-27,MARINA ANCOL,0,0,0,0
2021-07-28,MARINA ANCOL,0,0,0,0
2021-07-29,MARINA ANCOL,0,0,0,0
2021-07-30,MARINA ANCOL,0,0,0,0
2021-07-31,MARINA ANCOL,0,0,0,0
2021-07-01,UNTUNG JAWA,7,7,28,29
