tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-06-01,P. MUARA ANGKE,6,8,248,272
2020-06-02,P. MUARA ANGKE,8,5,211,147
2020-06-03,P. MUARA ANGKE,5,8,206,202
2020-06-04,P. MUARA ANGKE,6,10,244,209
2020-06-05,P. MUARA ANGKE,13,5,731,149
2020-06-06,P. MUARA ANGKE,5,13,163,762
2020-06-07,P. MUARA ANGKE,11,5,249,159
2020-06-08,P. MUARA ANGKE,7,6,216,134
2020-06-09,P. MUARA ANGKE,6,6,198,104
2020-06-10,P. MUARA ANGKE,6,6,196,155
2020-06-11,P. MUARA ANGKE,5,14,231,214
2020-06-12,P. MUARA ANGKE,13,4,583,94
2020-06-13,P. MUARA ANGKE,4,11,166,695
2020-06-14,P. MUARA ANGKE,10,5,199,191
2020-06-15,P. MUARA ANGKE,5,8,139,145
2020-06-16,P. MUARA ANGKE,7,5,186,89
2020-06-17,P. MUARA ANGKE,4,7,114,164
2020-06-18,P. MUARA ANGKE,5,10,220,98
2020-06-19,P. MUARA ANGKE,12,6,537,112
2020-06-20,P. MUARA ANGKE,6,10,106,488
2020-06-21,P. MUARA ANGKE,9,5,184,136
2020-06-22,P. MUARA ANGKE,5,6,113,78
2020-06-23,P. MUARA ANGKE,6,4,169,77
2020-06-24,P. MUARA ANGKE,4,7,86,135
2020-06-25,P. MUARA ANGKE,5,8,144,141
2020-06-26,P. MUARA ANGKE,11,5,273,93
2020-06-27,P. MUARA ANGKE,5,7,137,223
2020-06-28,P. MUARA ANGKE,6,4,132,94
2020-06-29,P. MUARA ANGKE,4,5,87,74
2020-06-30,P. MUARA ANGKE,5,4,74,59
2020-06-01,MARINA ANCOL,3,3,41,34
2020-06-02,MARINA ANCOL,2,3,78,72
2020-06-03,MARINA ANCOL,4,4,74,34
2020-06-04,MARINA ANCOL,3,3,17,15
2020-06-05,MARINA ANCOL,4,5,29,157
2020-06-06,MARINA ANCOL,5,5,209,92
2020-06-07,MARINA ANCOL,2,2,33,27
2020-06-08,MARINA ANCOL,3,3,22,26
2020-06-09,MARINA ANCOL,3,3,20,62
2020-06-10,MARINA ANCOL,3,4,7,61
2020-06-11,MARINA ANCOL,4,4,65,26
2020-06-12,MARINA ANCOL,5,5,63,218
2020-06-13,MARINA ANCOL,6,4,282,41
2020-06-14,MARINA ANCOL,3,3,44,34
2020-06-15,MARINA ANCOL,3,3,8,16
2020-06-16,MARINA ANCOL,3,4,16,89
2020-06-17,MARINA ANCOL,5,5,82,44
2020-06-18,MARINA ANCOL,3,3,42,33
2020-06-19,MARINA ANCOL,4,5,39,120
2020-06-20,MARINA ANCOL,6,6,153,77
2020-06-21,MARINA ANCOL,3,3,36,16
2020-06-22,MARINA ANCOL,2,2,15,42
2020-06-23,MARINA ANCOL,3,3,26,44
2020-06-24,MARINA ANCOL,2,2,24,2
2020-06-25,MARINA ANCOL,3,3,16,35
2020-06-26,MARINA ANCOL,2,2,28,21
2020-06-27,MARINA ANCOL,2,2,18,12
2020-06-28,MARINA ANCOL,3,3,15,12
2020-06-29,MARINA ANCOL,2,2,1,13
2020-06-30,MARINA ANCOL,2,2,13,12
2020-06-01,UNTUNG JAWA,8,8,56,46
2020-06-02,UNTUNG JAWA,8,8,44,40
2020-06-03,UNTUNG JAWA,7,7,49,54
2020-06-04,UNTUNG JAWA,7,7,67,51
2020-06-05,UNTUNG JAWA,9,9,82,65
2020-06-06,UNTUNG JAWA,12,12,82,92
2020-06-07,UNTUNG JAWA,7,7,68,70
2020-06-08,UNTUNG JAWA,7,7,39,45
2020-06-09,UNTUNG JAWA,8,8,52,57
2020-06-10,UNTUNG JAWA,8,8,40,42
2020-06-11,UNTUNG JAWA,8,8,50,58
2020-06-12,UNTUNG JAWA,8,8,84,78
2020-06-13,UNTUNG JAWA,10,10,73,73
2020-06-14,UNTUNG JAWA,6,6,46,38
2020-06-15,UNTUNG JAWA,7,7,41,49
2020-06-16,UNTUNG JAWA,7,7,48,49
2020-06-17,UNTUNG JAWA,7,7,67,62
2020-06-18,UNTUNG JAWA,6,6,23,27
2020-06-19,UNTUNG JAWA,7,7,45,35
2020-06-20,UNTUNG JAWA,8,8,63,55
2020-06-21,UNTUNG JAWA,7,7,32,33
2020-06-22,UNTUNG JAWA,7,7,42,42
2020-06-23,UNTUNG JAWA,7,7,40,41
2020-06-24,UNTUNG JAWA,7,7,48,43
2020-06-25,UNTUNG JAWA,7,7,34,32
2020-06-26,UNTUNG JAWA,7,7,34,27
2020-06-27,UNTUNG JAWA,7,7,31,30
2020-06-28,UNTUNG JAWA,7,7,37,31
2020-06-29,UNTUNG JAWA,7,7,28,29
2020-06-30,UNTUNG JAWA,7,7,40,37
2020-06-01,LANCANG,5,1,47,41
2020-06-02,LANCANG,6,6,39,29
2020-06-03,LANCANG,6,2,37,0
2020-06-04,LANCANG,6,6,63,22
2020-06-05,LANCANG,6,6,59,28
2020-06-06,LANCANG,6,2,85,37
2020-06-07,LANCANG,6,6,50,33
2020-06-08,LANCANG,6,6,46,31
2020-06-09,LANCANG,6,6,55,24
2020-06-10,LANCANG,6,6,43,31
2020-06-11,LANCANG,6,6,51,31
2020-06-12,LANCANG,6,6,45,29
2020-06-13,LANCANG,6,6,66,38
2020-06-14,LANCANG,6,6,53,27
2020-06-15,LANCANG,6,6,28,24
2020-06-16,LANCANG,6,6,40,24
2020-06-17,LANCANG,6,6,29,17
2020-06-18,LANCANG,6,6,35,31
2020-06-19,LANCANG,6,6,40,40
2020-06-20,LANCANG,6,6,42,31
2020-06-21,LANCANG,6,6,33,34
2020-06-22,LANCANG,6,6,36,16
2020-06-23,LANCANG,6,6,41,35
2020-06-24,LANCANG,6,6,38,25
2020-06-25,LANCANG,6,6,49,17
2020-06-26,LANCANG,6,6,47,25
2020-06-27,LANCANG,6,6,53,1
2020-06-28,LANCANG,6,6,27,23
2020-06-29,LANCANG,6,6,17,12
2020-06-30,LANCANG,5,5,16,20
2020-06-01,PARI,6,6,109,130
2020-06-02,PARI,5,5,106,107
2020-06-03,PARI,7,7,117,90
2020-06-04,PARI,6,6,69,66
2020-06-05,PARI,8,9,50,246
2020-06-06,PARI,9,9,260,100
2020-06-07,PARI,5,5,89,44
2020-06-08,PARI,6,6,43,50
2020-06-09,PARI,5,5,43,87
2020-06-10,PARI,7,6,48,63
2020-06-11,PARI,6,6,118,75
2020-06-12,PARI,7,10,85,301
2020-06-13,PARI,10,8,353,96
2020-06-14,PARI,6,6,91,77
2020-06-15,PARI,6,6,66,38
2020-06-16,PARI,7,6,51,50
2020-06-17,PARI,9,8,82,77
2020-06-18,PARI,8,6,65,67
2020-06-19,PARI,8,9,73,201
2020-06-20,PARI,9,9,234,97
2020-06-21,PARI,6,7,69,48
2020-06-22,PARI,5,5,32,19
2020-06-23,PARI,7,7,59,56
2020-06-24,PARI,6,5,18,22
2020-06-25,PARI,7,6,32,78
2020-06-26,PARI,6,6,69,49
2020-06-27,PARI,5,6,58,51
2020-06-28,PARI,6,6,35,25
2020-06-29,PARI,5,5,5,26
2020-06-30,PARI,5,5,19,27
2020-06-01,TIDUNG/PAYUNG,5,5,50,50
2020-06-02,TIDUNG/PAYUNG,5,7,92,65
2020-06-03,TIDUNG/PAYUNG,5,5,57,47
2020-06-04,TIDUNG/PAYUNG,6,6,60,54
2020-06-05,TIDUNG/PAYUNG,5,8,36,254
2020-06-06,TIDUNG/PAYUNG,6,5,247,63
2020-06-07,TIDUNG/PAYUNG,5,6,36,66
2020-06-08,TIDUNG/PAYUNG,5,5,38,40
2020-06-09,TIDUNG/PAYUNG,6,6,41,49
2020-06-10,TIDUNG/PAYUNG,5,7,19,97
2020-06-11,TIDUNG/PAYUNG,8,6,46,36
2020-06-12,TIDUNG/PAYUNG,6,7,18,198
2020-06-13,TIDUNG/PAYUNG,7,5,249,53
2020-06-14,TIDUNG/PAYUNG,5,6,42,35
2020-06-15,TIDUNG/PAYUNG,5,6,23,39
2020-06-16,TIDUNG/PAYUNG,5,7,16,114
2020-06-17,TIDUNG/PAYUNG,6,5,99,35
2020-06-18,TIDUNG/PAYUNG,6,6,21,79
2020-06-19,TIDUNG/PAYUNG,6,8,31,151
2020-06-20,TIDUNG/PAYUNG,6,6,126,32
2020-06-21,TIDUNG/PAYUNG,6,6,54,29
2020-06-22,TIDUNG/PAYUNG,5,6,15,71
2020-06-23,TIDUNG/PAYUNG,5,5,22,55
2020-06-24,TIDUNG/PAYUNG,5,5,40,17
2020-06-25,TIDUNG/PAYUNG,6,5,33,49
