tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-03-01,P. MUARA ANGKE,7,5,151,103
2020-03-02,P. MUARA ANGKE,5,5,125,109
2020-03-03,P. MUARA ANGKE,5,5,122,84
2020-03-04,P. MUARA ANGKE,4,6,121,121
2020-03-05,P. MUARA ANGKE,5,4,176,71
2020-03-06,P. MUARA ANGKE,9,4,399,96
2020-03-07,P. MUARA ANGKE,4,8,119,376
2020-03-08,P. MUARA ANGKE,7,4,153,114
2020-03-09,P. MUARA ANGKE,5,5,164,121
2020-03-10,P. MUARA ANGKE,6,7,182,114
2020-03-11,P. MUARA ANGKE,7,7,363,156
2020-03-12,P. MUARA ANGKE,5,9,236,200
2020-03-13,P. MUARA ANGKE,10,5,621,206
2020-03-14,P. MUARA ANGKE,5,10,187,624
2020-03-15,P. MUARA ANGKE,13,5,204,155
2020-03-16,P. MUARA ANGKE,5,5,112,152
2020-03-17,P. MUARA ANGKE,5,4,164,100
2020-03-18,P. MUARA ANGKE,4,6,99,133
2020-03-19,P. MUARA ANGKE,6,8,196,142
2020-03-20,P. MUARA ANGKE,11,5,570,89
2020-03-21,P. MUARA ANGKE,6,10,152,574
2020-03-22,P. MUARA ANGKE,10,5,304,119
2020-03-23,P. MUARA ANGKE,6,5,101,137
2020-03-24,P. MUARA ANGKE,6,7,122,126
2020-03-25,P. MUARA ANGKE,7,8,182,134
2020-03-26,P. MUARA ANGKE,7,14,341,167
2020-03-27,P. MUARA ANGKE,14,7,859,200
2020-03-28,P. MUARA ANGKE,7,15,270,926
2020-03-29,P. MUARA ANGKE,14,6,246,127
2020-03-30,P. MUARA ANGKE,5,7,121,123
2020-03-31,P. MUARA ANGKE,7,7,226,179
2020-03-01,MARINA ANCOL,3,3,14,30
2020-03-02,MARINA ANCOL,3,3,13,13
2020-03-03,MARINA ANCOL,3,3,11,13
2020-03-04,MARINA ANCOL,3,3,11,20
2020-03-05,MARINA ANCOL,2,3,15,42
2020-03-06,MARINA ANCOL,6,5,70,102
2020-03-07,MARINA ANCOL,3,4,105,50
2020-03-08,MARINA ANCOL,6,5,32,35
2020-03-09,MARINA ANCOL,3,3,21,25
2020-03-10,MARINA ANCOL,3,3,28,6
2020-03-11,MARINA ANCOL,2,4,13,74
2020-03-12,MARINA ANCOL,3,3,26,33
2020-03-13,MARINA ANCOL,3,3,48,53
2020-03-14,MARINA ANCOL,6,6,65,46
2020-03-15,MARINA ANCOL,3,3,31,26
2020-03-16,MARINA ANCOL,3,3,10,32
2020-03-17,MARINA ANCOL,8,3,30,38
2020-03-18,MARINA ANCOL,8,3,16,9
2020-03-19,MARINA ANCOL,7,2,37,19
2020-03-20,MARINA ANCOL,8,3,13,68
2020-03-21,MARINA ANCOL,10,5,85,22
2020-03-22,MARINA ANCOL,3,3,10,30
2020-03-23,MARINA ANCOL,3,3,30,18
2020-03-24,MARINA ANCOL,3,3,16,16
2020-03-25,MARINA ANCOL,4,4,27,14
2020-03-26,MARINA ANCOL,4,5,9,62
2020-03-27,MARINA ANCOL,4,6,66,213
2020-03-28,MARINA ANCOL,3,4,130,34
2020-03-29,MARINA ANCOL,3,3,28,24
2020-03-30,MARINA ANCOL,3,4,25,15
2020-03-31,MARINA ANCOL,3,3,17,30
2020-03-01,UNTUNG JAWA,9,9,61,63
2020-03-02,UNTUNG JAWA,8,8,47,54
2020-03-03,UNTUNG JAWA,8,8,95,85
2020-03-04,UNTUNG JAWA,8,8,102,87
2020-03-05,UNTUNG JAWA,7,7,56,65
2020-03-06,UNTUNG JAWA,11,11,200,214
2020-03-07,UNTUNG JAWA,15,15,309,304
2020-03-08,UNTUNG JAWA,13,13,158,132
2020-03-09,UNTUNG JAWA,9,9,86,96
2020-03-10,UNTUNG JAWA,10,10,55,62
2020-03-11,UNTUNG JAWA,16,16,308,309
2020-03-12,UNTUNG JAWA,7,7,27,31
2020-03-13,UNTUNG JAWA,18,18,371,336
2020-03-14,UNTUNG JAWA,19,19,387,363
2020-03-15,UNTUNG JAWA,8,8,91,86
2020-03-16,UNTUNG JAWA,9,9,87,87
2020-03-17,UNTUNG JAWA,9,9,115,130
2020-03-18,UNTUNG JAWA,8,8,106,111
2020-03-19,UNTUNG JAWA,8,8,79,82
2020-03-20,UNTUNG JAWA,14,14,249,270
2020-03-21,UNTUNG JAWA,21,21,435,434
2020-03-22,UNTUNG JAWA,9,9,99,107
2020-03-23,UNTUNG JAWA,9,9,71,72
2020-03-24,UNTUNG JAWA,9,9,71,69
2020-03-25,UNTUNG JAWA,8,8,57,56
2020-03-26,UNTUNG JAWA,9,9,71,92
2020-03-27,UNTUNG JAWA,18,18,407,366
2020-03-28,UNTUNG JAWA,32,32,682,685
2020-03-29,UNTUNG JAWA,8,8,104,80
2020-03-30,UNTUNG JAWA,9,9,55,60
2020-03-31,UNTUNG JAWA,10,10,48,60
2020-03-01,LANCANG,6,6,41,21
2020-03-02,LANCANG,6,6,25,24
2020-03-03,LANCANG,6,6,55,14
2020-03-04,LANCANG,6,6,38,19
2020-03-05,LANCANG,6,6,42,20
2020-03-06,LANCANG,5,5,31,28
2020-03-07,LANCANG,6,5,87,25
2020-03-08,LANCANG,6,5,44,22
2020-03-09,LANCANG,6,6,38,13
2020-03-10,LANCANG,6,6,35,23
2020-03-11,LANCANG,6,6,33,27
2020-03-12,LANCANG,6,6,31,19
2020-03-13,LANCANG,6,6,33,51
2020-03-14,LANCANG,6,6,107,23
2020-03-15,LANCANG,6,6,72,23
2020-03-16,LANCANG,6,6,52,33
2020-03-17,LANCANG,6,6,45,36
2020-03-18,LANCANG,6,6,43,18
2020-03-19,LANCANG,6,6,47,25
2020-03-20,LANCANG,6,6,64,19
2020-03-21,LANCANG,6,6,50,39
2020-03-22,LANCANG,6,6,50,25
2020-03-23,LANCANG,6,6,41,21
2020-03-24,LANCANG,6,6,47,23
2020-03-25,LANCANG,6,6,41,34
2020-03-26,LANCANG,5,5,47,24
2020-03-27,LANCANG,5,5,46,52
2020-03-28,LANCANG,6,6,93,21
2020-03-29,LANCANG,6,6,43,43
2020-03-30,LANCANG,5,5,29,18
2020-03-31,LANCANG,5,5,50,28
2020-03-01,PARI,5,5,31,39
2020-03-02,PARI,5,5,41,18
2020-03-03,PARI,4,4,20,19
2020-03-04,PARI,5,5,29,16
2020-03-05,PARI,4,4,31,38
2020-03-06,PARI,3,4,18,92
2020-03-07,PARI,5,4,87,38
2020-03-08,PARI,5,5,28,32
2020-03-09,PARI,4,4,19,91
2020-03-10,PARI,5,5,67,32
2020-03-11,PARI,5,5,34,109
2020-03-12,PARI,5,5,51,75
2020-03-13,PARI,5,5,106,177
2020-03-14,PARI,8,8,249,99
2020-03-15,PARI,6,6,40,58
2020-03-16,PARI,5,5,63,26
2020-03-17,PARI,5,5,50,10
2020-03-18,PARI,5,5,23,25
2020-03-19,PARI,5,4,23,48
2020-03-20,PARI,5,6,34,230
2020-03-21,PARI,9,8,363,167
2020-03-22,PARI,4,5,63,61
2020-03-23,PARI,4,4,27,48
2020-03-24,PARI,5,5,67,18
2020-03-25,PARI,5,5,45,40
2020-03-26,PARI,6,4,35,75
2020-03-27,PARI,6,8,61,307
2020-03-28,PARI,10,9,443,192
2020-03-29,PARI,4,5,66,79
2020-03-30,PARI,5,5,63,46
2020-03-31,PARI,6,6,64,60
2020-03-01,TIDUNG/PAYUNG,5,5,17,31
2020-03-02,TIDUNG/PAYUNG,4,4,13,25
2020-03-03,TIDUNG/PAYUNG,4,4,22,18
2020-03-04,TIDUNG/PAYUNG,4,4,12,25
2020-03-05,TIDUNG/PAYUNG,5,5,16,32
2020-03-06,TIDUNG/PAYUNG,4,5,18,95
2020-03-07,TIDUNG/PAYUNG,5,4,74,18
2020-03-08,TIDUNG/PAYUNG,4,5,18,27
2020-03-09,TIDUNG/PAYUNG,4,4,19,20
2020-03-10,TIDUNG/PAYUNG,5,4,22,29
2020-03-11,TIDUNG/PAYUNG,4,5,15,99
2020-03-12,TIDUNG/PAYUNG,5,4,53,27
2020-03-13,TIDUNG/PAYUNG,4,5,15,109
