tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-05-01,P. MUARA ANGKE,13,5,569,158
2020-05-02,P. MUARA ANGKE,5,12,192,527
2020-05-03,P. MUARA ANGKE,10,4,279,138
2020-05-04,P. MUARA ANGKE,5,6,224,145
2020-05-05,P. MUARA ANGKE,6,4,254,134
2020-05-06,P. MUARA ANGKE,4,7,168,114
2020-05-07,P. MUARA ANGKE,6,7,154,115
2020-05-08,P. MUARA ANGKE,9,4,286,79
2020-05-09,P. MUARA ANGKE,4,10,181,218
2020-05-10,P. MUARA ANGKE,10,5,296,106
2020-05-11,P. MUARA ANGKE,5,15,275,108
2020-05-12,P. MUARA ANGKE,13,13,708,110
2020-05-13,P. MUARA ANGKE,13,14,770,176
2020-05-14,P. MUARA ANGKE,21,20,2009,627
2020-05-15,P. MUARA ANGKE,21,18,1722,1450
2020-05-16,P. MUARA ANGKE,20,27,131,2347
2020-05-17,P. MUARA ANGKE,17,8,216,395
2020-05-18,P. MUARA ANGKE,9,8,530,250
2020-05-19,P. MUARA ANGKE,10,7,385,334
2020-05-20,P. MUARA ANGKE,6,11,229,594
2020-05-21,P. MUARA ANGKE,8,12,467,377
2020-05-22,P. MUARA ANGKE,15,7,750,207
2020-05-23,P. MUARA ANGKE,9,14,405,916
2020-05-24,P. MUARA ANGKE,10,8,229,393
2020-05-25,P. MUARA ANGKE,7,7,199,176
2020-05-26,P. MUARA ANGKE,7,6,227,229
2020-05-27,P. MUARA ANGKE,6,8,151,187
2020-05-28,P. MUARA ANGKE,6,12,283,124
2020-05-29,P. MUARA ANGKE,14,5,735,137
2020-05-30,P. MUARA ANGKE,5,13,291,708
2020-05-31,P. MUARA ANGKE,12,5,329,268
2020-05-01,MARINA ANCOL,2,3,8,68
2020-05-02,MARINA ANCOL,3,3,83,8
2020-05-03,MARINA ANCOL,3,3,11,23
2020-05-04,MARINA ANCOL,3,3,13,18
2020-05-05,MARINA ANCOL,2,3,10,11
2020-05-06,MARINA ANCOL,3,3,17,14
2020-05-07,MARINA ANCOL,3,4,7,25
2020-05-08,MARINA ANCOL,3,4,17,122
2020-05-09,MARINA ANCOL,6,5,103,129
2020-05-10,MARINA ANCOL,3,3,28,37
2020-05-11,MARINA ANCOL,3,3,60,62
2020-05-12,MARINA ANCOL,6,8,81,269
2020-05-13,MARINA ANCOL,5,7,79,285
2020-05-14,MARINA ANCOL,8,8,201,477
2020-05-15,MARINA ANCOL,10,7,490,144
2020-05-16,MARINA ANCOL,6,5,397,0
2020-05-17,MARINA ANCOL,2,1,14,10
2020-05-18,MARINA ANCOL,3,4,36,65
2020-05-19,MARINA ANCOL,5,4,45,89
2020-05-20,MARINA ANCOL,4,4,44,31
2020-05-21,MARINA ANCOL,4,4,50,69
2020-05-22,MARINA ANCOL,2,3,23,168
2020-05-23,MARINA ANCOL,5,4,197,114
2020-05-24,MARINA ANCOL,3,3,33,40
2020-05-25,MARINA ANCOL,5,5,61,101
2020-05-26,MARINA ANCOL,4,4,97,42
2020-05-27,MARINA ANCOL,6,7,62,74
2020-05-28,MARINA ANCOL,6,5,60,65
2020-05-29,MARINA ANCOL,5,5,47,125
2020-05-30,MARINA ANCOL,5,5,148,63
2020-05-31,MARINA ANCOL,3,4,57,66
2020-05-01,UNTUNG JAWA,9,9,107,99
2020-05-02,UNTUNG JAWA,10,10,89,104
2020-05-03,UNTUNG JAWA,7,7,45,37
2020-05-04,UNTUNG JAWA,8,8,73,64
2020-05-05,UNTUNG JAWA,7,7,79,61
2020-05-06,UNTUNG JAWA,8,8,80,71
2020-05-07,UNTUNG JAWA,7,7,70,72
2020-05-08,UNTUNG JAWA,7,7,73,76
2020-05-09,UNTUNG JAWA,10,10,119,99
2020-05-10,UNTUNG JAWA,8,8,98,83
2020-05-11,UNTUNG JAWA,9,9,140,112
2020-05-12,UNTUNG JAWA,9,9,154,164
2020-05-13,UNTUNG JAWA,13,13,221,166
2020-05-14,UNTUNG JAWA,24,24,769,887
2020-05-15,UNTUNG JAWA,26,26,558,522
2020-05-16,UNTUNG JAWA,9,9,127,105
2020-05-17,UNTUNG JAWA,10,10,102,93
2020-05-18,UNTUNG JAWA,9,9,39,50
2020-05-19,UNTUNG JAWA,9,9,98,76
2020-05-20,UNTUNG JAWA,8,8,69,77
2020-05-21,UNTUNG JAWA,7,7,46,35
2020-05-22,UNTUNG JAWA,8,8,81,70
2020-05-23,UNTUNG JAWA,8,8,38,35
2020-05-24,UNTUNG JAWA,8,8,57,52
2020-05-25,UNTUNG JAWA,8,8,34,36
2020-05-26,UNTUNG JAWA,7,7,62,58
2020-05-27,UNTUNG JAWA,7,7,40,39
2020-05-28,UNTUNG JAWA,6,6,43,49
2020-05-29,UNTUNG JAWA,8,8,56,58
2020-05-30,UNTUNG JAWA,10,10,89,97
2020-05-31,UNTUNG JAWA,8,8,43,49
2020-05-01,LANCANG,6,6,52,17
2020-05-02,LANCANG,6,6,53,14
2020-05-03,LANCANG,6,6,35,27
2020-05-04,LANCANG,6,6,55,10
2020-05-05,LANCANG,6,6,25,17
2020-05-06,LANCANG,6,6,19,13
2020-05-07,LANCANG,6,6,62,23
2020-05-08,LANCANG,6,6,59,47
2020-05-09,LANCANG,6,6,65,33
2020-05-10,LANCANG,6,6,46,24
2020-05-11,LANCANG,6,6,122,34
2020-05-12,LANCANG,5,5,40,48
2020-05-13,LANCANG,6,6,134,22
2020-05-14,LANCANG,6,6,116,109
2020-05-15,LANCANG,6,6,99,160
2020-05-16,LANCANG,7,7,222,42
2020-05-17,LANCANG,6,6,128,54
2020-05-18,LANCANG,6,6,62,27
2020-05-19,LANCANG,6,6,61,45
2020-05-20,LANCANG,6,6,60,46
2020-05-21,LANCANG,6,6,51,32
2020-05-22,LANCANG,5,5,71,48
2020-05-23,LANCANG,6,6,81,49
2020-05-24,LANCANG,6,6,39,45
2020-05-25,LANCANG,6,6,27,21
2020-05-26,LANCANG,6,6,39,32
2020-05-27,LANCANG,6,6,39,24
2020-05-28,LANCANG,6,6,54,29
2020-05-29,LANCANG,6,6,82,39
2020-05-30,LANCANG,6,3,36,10
2020-05-31,LANCANG,6,6,45,56
2020-05-01,PARI,8,9,55,229
2020-05-02,PARI,9,8,239,36
2020-05-03,PARI,5,6,36,49
2020-05-04,PARI,6,6,40,45
2020-05-05,PARI,6,6,38,36
2020-05-06,PARI,7,7,38,24
2020-05-07,PARI,6,7,22,36
2020-05-08,PARI,6,8,32,108
2020-05-09,PARI,10,7,108,79
2020-05-10,PARI,6,6,41,65
2020-05-11,PARI,9,6,51,93
2020-05-12,PARI,13,13,65,388
2020-05-13,PARI,24,23,353,755
2020-05-14,PARI,22,20,532,1009
2020-05-15,PARI,18,22,834,816
2020-05-16,PARI,14,11,1201,29
2020-05-17,PARI,6,6,140,65
2020-05-18,PARI,6,7,71,175
2020-05-19,PARI,10,9,193,157
2020-05-20,PARI,8,8,201,80
2020-05-21,PARI,9,9,137,149
2020-05-22,PARI,6,9,68,383
2020-05-23,PARI,12,11,540,163
2020-05-24,PARI,6,6,122,101
2020-05-25,PARI,8,8,92,108
2020-05-26,PARI,7,7,141,81
2020-05-27,PARI,9,10,107,90
2020-05-28,PARI,11,8,58,182
2020-05-29,PARI,10,12,102,289
2020-05-30,PARI,10,9,320,154
2020-05-31,PARI,7,8,159,74
2020-05-01,TIDUNG/PAYUNG,4,6,14,133
2020-05-02,TIDUNG/PAYUNG,6,5,140,36
2020-05-03,TIDUNG/PAYUNG,5,6,26,68
2020-05-04,TIDUNG/PAYUNG,5,5,27,33
2020-05-05,TIDUNG/PAYUNG,4,5,21,45
2020-05-06,TIDUNG/PAYUNG,5,5,24,33
2020-05-07,TIDUNG/PAYUNG,6,5,21,31
2020-05-08,TIDUNG/PAYUNG,5,6,25,146
2020-05-09,TIDUNG/PAYUNG,6,6,71,129
2020-05-10,TIDUNG/PAYUNG,6,6,49,106
2020-05-11,TIDUNG/PAYUNG,6,6,57,116
2020-05-12,TIDUNG/PAYUNG,6,8,98,267
2020-05-13,TIDUNG/PAYUNG,5,8,109,388
2020-05-14,TIDUNG/PAYUNG,9,13,229,711
2020-05-15,TIDUNG/PAYUNG,11,8,504,339
2020-05-16,TIDUNG/PAYUNG,16,9,791,27
2020-05-17,TIDUNG/PAYUNG,6,6,58,40
2020-05-18,TIDUNG/PAYUNG,5,6,52,89
2020-05-19,TIDUNG/PAYUNG,6,6,73,110
2020-05-20,TIDUNG/PAYUNG,6,6,97,81
2020-05-21,TIDUNG/PAYUNG,6,6,124,91
2020-05-22,TIDUNG/PAYUNG,7,6,31,159
2020-05-23,TIDUNG/PAYUNG,6,7,173,300
2020-05-24,TIDUNG/PAYUNG,7,5,222,50
2020-05-25,TIDUNG/PAYUNG,5,6,64,72
2020-05-26,TIDUNG/PAYUNG,6,5,71,54
2020-05-27,TIDUNG/PAYUNG,6,6,60,49
2020-05-28,TIDUNG/PAYUNG,5,6,50,77
2020-05-29,TIDUNG/PAYUNG,5,6,27,143
2020-05-30,TIDUNG/PAYUNG,6,5,154,54
2020-05-31,TIDUNG/PAYUNG,5,7,59,138
2020-05-01,PRAMUKA/PANGGANG,4,4,24,47
2020-05-02,PRAMUKA/PANGGANG,6,4,39,17
2020-05-03,PRAMUKA/PANGGANG,3,4,22,40
2020-05-04,PRAMUKA/PANGGANG,3,4,12,35
2020-05-05,PRAMUKA/PANGGANG,3,5,32,24
2020-05-06,PRAMUKA/PANGGANG,3,4,43,56
2020-05-07,PRAMUKA/PANGGANG,1,2,13,35
2020-05-08,PRAMUKA/PANGGANG,3,4,20,34
2020-05-09,PRAMUKA/PANGGANG,5,5,78,33
2020-05-10,PRAMUKA/PANGGANG,4,3,26,11
2020-05-11,PRAMUKA/PANGGANG,3,3,43,20
2020-05-12,PRAMUKA/PANGGANG,3,4,25,32
2020-05-13,PRAMUKA/PANGGANG,5,4,64,56
2020-05-14,PRAMUKA/PANGGANG,3,3,32,33
2020-05-15,PRAMUKA/PANGGANG,4,4,33,68
2020-05-16,PRAMUKA/PANGGANG,3,3,0,3
2020-05-17,PRAMUKA/PANGGANG,3,2,4,2
2020-05-18,PRAMUKA/PANGGANG,1,4,0,0
2020-05-19,PRAMUKA/PANGGANG,2,2,1,0
2020-05-20,PRAMUKA/PANGGANG,4,3,10,14
2020-05-21,PRAMUKA/PANGGANG,2,4,0,0
2020-05-22,PRAMUKA/PANGGANG,4,2,0,0
2020-05-23,PRAMUKA/PANGGANG,4,4,7,7
2020-05-24,PRAMUKA/PANGGANG,2,4,6,4
2020-05-25,PRAMUKA/PANGGANG,5,5,7,10
2020-05-26,PRAMUKA/PANGGANG,4,6,5,11
2020-05-27,PRAMUKA/PANGGANG,6,7,45,36
2020-05-28,PRAMUKA/PANGGANG,5,6,5,35
2020-05-29,PRAMUKA/PANGGANG,5,6,7,6
2020-05-30,PRAMUKA/PANGGANG,3,3,6,19
2020-05-31,PRAMUKA/PANGGANG,4,4,16,7
2020-05-01,KELAPA,2,2,11,7
2020-05-02,KELAPA,1,1,0,3
2020-05-03,KELAPA,1,1,0,5
2020-05-04,KELAPA,2,2,7,3
2020-05-05,KELAPA,2,2,0,0
2020-05-06,KELAPA,2,2,0,1
2020-05-07,KELAPA,2,2,12,7
2020-05-08,KELAPA,4,3,23,9
2020-05-09,KELAPA,4,4,22,15
2020-05-10,KELAPA,6,4,21,10
2020-05-11,KELAPA,4,5,35,18
2020-05-12,KELAPA,5,6,16,15
2020-05-13,KELAPA,5,4,22,25
2020-05-14,KELAPA,3,5,34,21
2020-05-15,KELAPA,4,3,25,25
2020-05-16,KELAPA,3,4,46,29
2020-05-17,KELAPA,1,2,7,0
2020-05-18,KELAPA,2,1,15,3
2020-05-19,KELAPA,2,3,10,29
2020-05-20,KELAPA,3,2,5,11
2020-05-21,KELAPA,1,2,0,0
2020-05-22,KELAPA,2,1,19,4
2020-05-23,KELAPA,2,2,1,0
2020-05-24,KELAPA,2,1,0,0
2020-05-25,KELAPA,1,2,0,0
2020-05-26,KELAPA,3,2,20,25
2020-05-27,KELAPA,2,3,12,0
2020-05-28,KELAPA,2,1,0,0
2020-05-29,KELAPA,2,5,20,61
2020-05-30,KELAPA,3,2,19,0
2020-05-31,KELAPA,1,2,0,0
2020-05-01,HARAPAN,0,0,0,0
2020-05-02,HARAPAN,0,1,0,2
2020-05-03,HARAPAN,1,0,0,0
2020-05-04,HARAPAN,0,0,0,0
2020-05-05,HARAPAN,0,0,0,0
2020-05-06,HARAPAN,1,0,8,0
2020-05-07,HARAPAN,0,0,0,0
2020-05-08,HARAPAN,1,0,8,0
2020-05-09,HARAPAN,0,1,0,11
2020-05-10,HARAPAN,1,1,0,17
2020-05-11,HARAPAN,0,0,0,0
2020-05-12,HARAPAN,0,2,0,6
2020-05-13,HARAPAN,2,1,18,19
2020-05-14,HARAPAN,1,1,1,4
2020-05-15,HARAPAN,0,0,0,0
2020-05-16,HARAPAN,0,0,0,0
2020-05-17,HARAPAN,2,2,0,0
2020-05-18,HARAPAN,3,3,32,39
2020-05-19,HARAPAN,3,3,12,4
2020-05-20,HARAPAN,1,2,0,0
2020-05-21,HARAPAN,3,2,42,22
2020-05-22,HARAPAN,2,3,12,3
2020-05-23,HARAPAN,2,1,0,0
2020-05-24,HARAPAN,1,1,0,0
2020-05-25,HARAPAN,3,2,17,45
2020-05-26,HARAPAN,2,3,14,2
2020-05-27,HARAPAN,2,1,0,0
2020-05-28,HARAPAN,2,4,0,65
2020-05-29,HARAPAN,4,2,53,4
2020-05-30,HARAPAN,2,4,11,71
2020-05-31,HARAPAN,4,2,44,19
2020-05-01,SABIRA,0,0,0,0
2020-05-02,SABIRA,0,0,0,0
2020-05-03,SABIRA,0,0,0,0
2020-05-04,SABIRA,0,0,0,0
2020-05-05,SABIRA,0,0,0,0
2020-05-06,SABIRA,0,0,0,0
2020-05-07,SABIRA,0,0,0,0
2020-05-08,SABIRA,0,0,0,0
2020-05-09,SABIRA,0,0,0,0
2020-05-10,SABIRA,0,1,0,0
2020-05-11,SABIRA,0,0,0,0
2020-05-12,SABIRA,0,0,0,0
2020-05-13,SABIRA,0,2,0,0
2020-05-14,SABIRA,0,0,0,0
2020-05-15,SABIRA,0,0,0,0
2020-05-16,SABIRA,0,0,0,0
2020-05-17,SABIRA,0,0,0,0
2020-05-18,SABIRA,0,0,0,0
2020-05-19,SABIRA,0,0,0,0
2020-05-20,SABIRA,0,0,0,0
2020-05-21,SABIRA,1,3,0,0
2020-05-22,SABIRA,1,0,0,0
2020-05-23,SABIRA,0,0,0,0
2020-05-24,SABIRA,0,0,0,0
2020-05-25,SABIRA,0,0,0,0
