tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-12-01,P. MUARA ANGKE,8,22,624,3267
2019-12-02,P. MUARA ANGKE,11,9,293,504
2019-12-03,P. MUARA ANGKE,9,8,419,298
2019-12-04,P. MUARA ANGKE,8,8,294,413
2019-12-05,P. MUARA ANGKE,6,9,287,263
2019-12-06,P. MUARA ANGKE,9,19,803,428
2019-12-07,P. MUARA ANGKE,22,12,2819,353
2019-12-08,P. MUARA ANGKE,10,22,861,3155
2019-12-09,P. MUARA ANGKE,11,8,265,511
2019-12-10,P. MUARA ANGKE,8,8,370,269
2019-12-11,P. MUARA ANGKE,8,7,308,388
2019-12-12,P. MUARA ANGKE,6,8,256,338
2019-12-13,P. MUARA ANGKE,8,18,612,310
2019-12-14,P. MUARA ANGKE,20,8,2754,294
2019-12-15,P. MUARA ANGKE,9,22,397,2964
2019-12-16,P. MUARA ANGKE,16,7,462,383
2019-12-17,P. MUARA ANGKE,7,10,385,335
2019-12-18,P. MUARA ANGKE,9,8,480,359
2019-12-19,P. MUARA ANGKE,8,9,315,432
2019-12-20,P. MUARA ANGKE,9,21,649,747
2019-12-21,P. MUARA ANGKE,23,9,2450,474
2019-12-22,P. MUARA ANGKE,8,19,955,2472
2019-12-23,P. MUARA ANGKE,13,12,1177,888
2019-12-24,P. MUARA ANGKE,16,16,2429,1195
2019-12-25,P. MUARA ANGKE,15,18,1013,2663
2019-12-26,P. MUARA ANGKE,12,14,939,956
2019-12-27,P. MUARA ANGKE,13,22,1012,741
2019-12-28,P. MUARA ANGKE,23,13,3184,1004
2019-12-29,P. MUARA ANGKE,10,22,1152,2981
2019-12-30,P. MUARA ANGKE,16,24,1722,1265
2019-12-31,P. MUARA ANGKE,26,12,4438,733
2019-12-01,MARINA ANCOL,11,11,383,337
2019-12-02,MARINA ANCOL,9,9,277,311
2019-12-03,MARINA ANCOL,7,7,245,244
2019-12-04,MARINA ANCOL,5,5,185,148
2019-12-05,MARINA ANCOL,8,8,165,177
2019-12-06,MARINA ANCOL,8,8,158,229
2019-12-07,MARINA ANCOL,12,12,295,243
2019-12-08,MARINA ANCOL,12,12,310,386
2019-12-09,MARINA ANCOL,10,10,199,211
2019-12-10,MARINA ANCOL,9,9,200,158
2019-12-11,MARINA ANCOL,11,11,217,219
2019-12-12,MARINA ANCOL,11,11,954,873
2019-12-13,MARINA ANCOL,11,11,583,499
2019-12-14,MARINA ANCOL,13,13,421,387
2019-12-15,MARINA ANCOL,10,10,243,229
2019-12-16,MARINA ANCOL,11,11,332,326
2019-12-17,MARINA ANCOL,10,10,331,348
2019-12-18,MARINA ANCOL,19,19,611,587
2019-12-19,MARINA ANCOL,13,13,343,435
2019-12-20,MARINA ANCOL,10,10,387,336
2019-12-21,MARINA ANCOL,15,15,563,553
2019-12-22,MARINA ANCOL,12,12,613,541
2019-12-23,MARINA ANCOL,15,15,463,411
2019-12-24,MARINA ANCOL,10,10,243,229
2019-12-25,MARINA ANCOL,15,15,394,339
2019-12-26,MARINA ANCOL,14,14,271,263
2019-12-27,MARINA ANCOL,16,16,443,379
2019-12-28,MARINA ANCOL,22,22,967,891
2019-12-29,MARINA ANCOL,19,19,876,766
2019-12-30,MARINA ANCOL,15,15,1134,365
2019-12-31,MARINA ANCOL,19,19,937,264
2019-12-01,UNTUNG JAWA,9,7,193,278
2019-12-02,UNTUNG JAWA,5,4,97,131
2019-12-03,UNTUNG JAWA,6,5,106,117
2019-12-04,UNTUNG JAWA,7,5,133,129
2019-12-05,UNTUNG JAWA,7,5,127,130
2019-12-06,UNTUNG JAWA,8,8,219,203
2019-12-07,UNTUNG JAWA,5,4,131,129
2019-12-08,UNTUNG JAWA,3,3,59,42
2019-12-09,UNTUNG JAWA,3,3,62,76
2019-12-10,UNTUNG JAWA,3,2,66,59
2019-12-11,UNTUNG JAWA,5,4,111,49
2019-12-12,UNTUNG JAWA,5,3,139,70
2019-12-13,UNTUNG JAWA,6,5,137,99
2019-12-14,UNTUNG JAWA,7,5,115,104
2019-12-15,UNTUNG JAWA,8,7,222,267
2019-12-16,UNTUNG JAWA,7,5,99,83
2019-12-17,UNTUNG JAWA,6,4,135,121
2019-12-18,UNTUNG JAWA,5,5,198,153
2019-12-19,UNTUNG JAWA,4,5,89,77
2019-12-20,UNTUNG JAWA,5,5,133,99
2019-12-21,UNTUNG JAWA,8,6,355,441
2019-12-22,UNTUNG JAWA,8,6,609,158
2019-12-23,UNTUNG JAWA,8,6,166,161
2019-12-24,UNTUNG JAWA,8,6,597,679
2019-12-25,UNTUNG JAWA,15,12,652,512
2019-12-26,UNTUNG JAWA,17,20,1130,1098
2019-12-27,UNTUNG JAWA,22,48,1930,1758
2019-12-28,UNTUNG JAWA,13,35,1157,1100
2019-12-29,UNTUNG JAWA,12,21,763,747
2019-12-30,UNTUNG JAWA,13,18,690,310
2019-12-31,UNTUNG JAWA,12,44,933,1243
2019-12-01,LANCANG,4,4,48,57
2019-12-02,LANCANG,4,4,63,54
2019-12-03,LANCANG,3,3,96,90
2019-12-04,LANCANG,4,4,79,71
2019-12-05,LANCANG,4,4,72,78
2019-12-06,LANCANG,4,4,59,65
2019-12-07,LANCANG,4,4,53,84
2019-12-08,LANCANG,4,4,59,92
2019-12-09,LANCANG,4,4,82,81
2019-12-10,LANCANG,3,3,38,55
2019-12-11,LANCANG,4,4,87,57
2019-12-12,LANCANG,2,2,36,23
2019-12-13,LANCANG,4,4,88,76
2019-12-14,LANCANG,3,3,96,90
2019-12-15,LANCANG,4,4,79,71
2019-12-16,LANCANG,4,4,68,89
2019-12-17,LANCANG,4,4,51,84
2019-12-18,LANCANG,4,4,101,66
2019-12-19,LANCANG,4,4,53,51
2019-12-20,LANCANG,4,4,52,45
2019-12-21,LANCANG,4,4,67,97
2019-12-22,LANCANG,4,4,129,118
2019-12-23,LANCANG,4,4,91,99
2019-12-24,LANCANG,3,3,56,106
2019-12-25,LANCANG,4,4,117,119
2019-12-26,LANCANG,4,4,101,66
2019-12-27,LANCANG,4,4,215,149
2019-12-28,LANCANG,4,4,167,140
2019-12-29,LANCANG,4,4,115,110
2019-12-30,LANCANG,4,4,88,90
2019-12-31,LANCANG,4,4,133,75
2019-12-01,PARI,9,6,1186,263
2019-12-02,PARI,5,5,262,244
2019-12-03,PARI,5,6,288,653
2019-12-04,PARI,3,3,93,63
2019-12-05,PARI,4,5,91,203
2019-12-06,PARI,5,5,133,168
2019-12-07,PARI,6,5,172,100
2019-12-08,PARI,3,4,88,115
2019-12-09,PARI,4,4,68,83
2019-12-10,PARI,4,4,78,125
2019-12-11,PARI,4,4,111,280
2019-12-12,PARI,3,3,114,41
2019-12-13,PARI,6,4,377,207
2019-12-14,PARI,6,6,210,158
2019-12-15,PARI,7,5,341,222
2019-12-16,PARI,4,4,114,55
2019-12-17,PARI,4,4,74,120
2019-12-18,PARI,5,4,123,166
2019-12-19,PARI,5,5,182,160
2019-12-20,PARI,6,6,190,239
2019-12-21,PARI,5,10,209,1004
2019-12-22,PARI,7,4,787,31
2019-12-23,PARI,5,6,393,431
2019-12-24,PARI,5,8,368,1012
2019-12-25,PARI,8,12,1191,770
2019-12-26,PARI,8,4,1089,265
2019-12-27,PARI,12,9,1145,796
2019-12-28,PARI,10,11,965,882
2019-12-29,PARI,6,6,738,373
2019-12-30,PARI,5,5,454,495
2019-12-31,PARI,12,13,785,1957
2019-12-01,TIDUNG/PAYUNG,7,9,340,654
2019-12-02,TIDUNG/PAYUNG,4,4,142,99
2019-12-03,TIDUNG/PAYUNG,4,5,139,231
2019-12-04,TIDUNG/PAYUNG,5,5,72,124
2019-12-05,TIDUNG/PAYUNG,3,5,93,102
2019-12-06,TIDUNG/PAYUNG,3,3,68,79
2019-12-07,TIDUNG/PAYUNG,5,4,251,135
2019-12-08,TIDUNG/PAYUNG,5,5,111,183
2019-12-09,TIDUNG/PAYUNG,4,7,93,211
2019-12-10,TIDUNG/PAYUNG,6,5,193,149
2019-12-11,TIDUNG/PAYUNG,4,4,188,87
2019-12-12,TIDUNG/PAYUNG,4,4,165,144
2019-12-13,TIDUNG/PAYUNG,4,4,195,174
2019-12-14,TIDUNG/PAYUNG,3,4,192,133
2019-12-15,TIDUNG/PAYUNG,5,4,178,146
2019-12-16,TIDUNG/PAYUNG,2,5,105,102
2019-12-17,TIDUNG/PAYUNG,4,4,146,134
2019-12-18,TIDUNG/PAYUNG,3,4,47,61
2019-12-19,TIDUNG/PAYUNG,4,3,127,116
2019-12-20,TIDUNG/PAYUNG,3,2,99,122
2019-12-21,TIDUNG/PAYUNG,2,9,264,1153
2019-12-22,TIDUNG/PAYUNG,5,4,187,241
2019-12-23,TIDUNG/PAYUNG,6,6,440,652
2019-12-24,TIDUNG/PAYUNG,7,8,644,1184
2019-12-25,TIDUNG/PAYUNG,4,5,1189,362
2019-12-26,TIDUNG/PAYUNG,8,5,1458,346
2019-12-27,TIDUNG/PAYUNG,10,8,773,689
2019-12-28,TIDUNG/PAYUNG,6,6,786,561
2019-12-29,TIDUNG/PAYUNG,9,5,483,290
2019-12-30,TIDUNG/PAYUNG,11,7,402,681
2019-12-31,TIDUNG/PAYUNG,15,17,1003,597
2019-12-01,PRAMUKA/PANGGANG,4,3,139,111
2019-12-02,PRAMUKA/PANGGANG,3,3,127,114
2019-12-03,PRAMUKA/PANGGANG,4,3,128,116
2019-12-04,PRAMUKA/PANGGANG,3,3,131,116
2019-12-05,PRAMUKA/PANGGANG,3,3,98,113
2019-12-06,PRAMUKA/PANGGANG,3,3,110,96
2019-12-07,PRAMUKA/PANGGANG,3,5,110,246
2019-12-08,PRAMUKA/PANGGANG,5,3,328,151
2019-12-09,PRAMUKA/PANGGANG,3,4,76,162
2019-12-10,PRAMUKA/PANGGANG,4,3,109,117
2019-12-11,PRAMUKA/PANGGANG,3,4,93,119
2019-12-12,PRAMUKA/PANGGANG,3,3,84,88
2019-12-13,PRAMUKA/PANGGANG,3,3,78,122
2019-12-14,PRAMUKA/PANGGANG,3,4,130,246
2019-12-15,PRAMUKA/PANGGANG,5,3,395,172
2019-12-16,PRAMUKA/PANGGANG,5,4,154,132
2019-12-17,PRAMUKA/PANGGANG,3,3,130,131
2019-12-18,PRAMUKA/PANGGANG,4,3,84,80
2019-12-19,PRAMUKA/PANGGANG,3,5,63,142
2019-12-20,PRAMUKA/PANGGANG,5,4,149,97
2019-12-21,PRAMUKA/PANGGANG,2,5,119,590
2019-12-22,PRAMUKA/PANGGANG,5,4,398,315
2019-12-23,PRAMUKA/PANGGANG,6,5,556,293
2019-12-24,PRAMUKA/PANGGANG,4,6,302,427
2019-12-25,PRAMUKA/PANGGANG,3,6,235,158
2019-12-26,PRAMUKA/PANGGANG,3,3,368,185
2019-12-27,PRAMUKA/PANGGANG,6,5,556,293
2019-12-28,PRAMUKA/PANGGANG,3,4,235,298
2019-12-29,PRAMUKA/PANGGANG,4,6,275,285
2019-12-30,PRAMUKA/PANGGANG,3,3,133,180
2019-12-31,PRAMUKA/PANGGANG,3,7,177,634
2019-12-01,KELAPA,6,5,219,119
2019-12-02,KELAPA,5,5,124,133
2019-12-03,KELAPA,5,6,121,342
2019-12-04,KELAPA,5,4,264,103
2019-12-05,KELAPA,5,6,140,183
2019-12-06,KELAPA,5,6,131,86
2019-12-07,KELAPA,6,5,182,103
2019-12-08,KELAPA,5,4,60,159
2019-12-09,KELAPA,5,6,107,171
2019-12-10,KELAPA,4,5,173,226
2019-12-11,KELAPA,7,5,207,136
2019-12-12,KELAPA,5,6,140,230
2019-12-13,KELAPA,5,3,142,26
2019-12-14,KELAPA,3,4,144,237
2019-12-15,KELAPA,5,4,232,151
2019-12-16,KELAPA,5,5,60,116
2019-12-17,KELAPA,4,2,105,35
2019-12-18,KELAPA,2,2,61,131
2019-12-19,KELAPA,7,5,209,217
2019-12-20,KELAPA,2,2,88,125
2019-12-21,KELAPA,2,4,78,167
2019-12-22,KELAPA,4,3,141,131
2019-12-23,KELAPA,3,4,81,166
2019-12-24,KELAPA,5,4,184,170
2019-12-25,KELAPA,6,5,556,293
2019-12-26,KELAPA,7,5,981,267
2019-12-27,KELAPA,5,5,165,159
2019-12-28,KELAPA,6,5,184,293
2019-12-29,KELAPA,6,5,219,119
2019-12-30,KELAPA,5,5,1102,357
2019-12-31,KELAPA,5,6,761,144
2019-12-01,HARAPAN,2,4,213,347
2019-12-02,HARAPAN,3,2,89,71
2019-12-03,HARAPAN,2,2,33,30
2019-12-04,HARAPAN,2,1,53,26
2019-12-05,HARAPAN,2,2,21,21
2019-12-06,HARAPAN,2,1,33,19
2019-12-07,HARAPAN,3,2,113,36
2019-12-08,HARAPAN,3,3,193,164
2019-12-09,HARAPAN,2,1,197,121
2019-12-10,HARAPAN,4,4,49,63
2019-12-11,HARAPAN,4,4,52,51
2019-12-12,HARAPAN,4,4,35,56
2019-12-13,HARAPAN,4,5,148,223
2019-12-14,HARAPAN,4,2,142,87
2019-12-15,HARAPAN,5,4,236,193
2019-12-16,HARAPAN,2,2,10,46
2019-12-17,HARAPAN,2,2,39,58
2019-12-18,HARAPAN,3,3,131,116
2019-12-19,HARAPAN,4,5,148,223
2019-12-20,HARAPAN,7,5,130,125
2019-12-21,HARAPAN,6,1,703,31
2019-12-22,HARAPAN,4,1,659,17
2019-12-23,HARAPAN,2,3,133,189
2019-12-24,HARAPAN,2,5,127,375
2019-12-25,HARAPAN,4,3,409,165
2019-12-26,HARAPAN,5,2,909,14
2019-12-27,HARAPAN,2,4,213,347
2019-12-28,HARAPAN,3,3,193,164
2019-12-29,HARAPAN,2,1,197,121
2019-12-30,HARAPAN,6,6,503,83
2019-12-31,HARAPAN,8,5,1211,485
2019-12-01,SABIRA,1,0,20,0
2019-12-02,SABIRA,0,1,0,3
2019-12-03,SABIRA,1,0,5,0
2019-12-04,SABIRA,0,1,0,6
