tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-02-01,P. MUARA ANGKE,7,10,249,270
2019-02-02,P. MUARA ANGKE,10,5,744,215
2019-02-03,P. MUARA ANGKE,5,8,331,521
2019-02-04,P. MUARA ANGKE,8,6,234,208
2019-02-05,P. MUARA ANGKE,7,7,319,223
2019-02-06,P. MUARA ANGKE,6,5,230,161
2019-02-07,P. MUARA ANGKE,5,8,178,227
2019-02-08,P. MUARA ANGKE,9,11,337,344
2019-02-09,P. MUARA ANGKE,10,5,903,185
2019-02-10,P. MUARA ANGKE,5,11,272,1004
2019-02-11,P. MUARA ANGKE,9,6,246,146
2019-02-12,P. MUARA ANGKE,5,8,176,220
2019-02-13,P. MUARA ANGKE,7,3,208,180
2019-02-14,P. MUARA ANGKE,3,7,124,158
2019-02-15,P. MUARA ANGKE,5,12,237,179
2019-02-16,P. MUARA ANGKE,12,5,1149,205
2019-02-17,P. MUARA ANGKE,5,12,210,895
2019-02-18,P. MUARA ANGKE,9,7,173,222
2019-02-19,P. MUARA ANGKE,6,5,211,92
2019-02-20,P. MUARA ANGKE,4,4,129,134
2019-02-21,P. MUARA ANGKE,5,6,185,223
2019-02-22,P. MUARA ANGKE,5,12,222,367
2019-02-23,P. MUARA ANGKE,13,6,1071,175
2019-02-24,P. MUARA ANGKE,6,13,227,961
2019-02-25,P. MUARA ANGKE,11,7,162,144
2019-02-26,P. MUARA ANGKE,5,5,217,162
2019-02-27,P. MUARA ANGKE,5,4,201,106
2019-02-28,P. MUARA ANGKE,4,7,204,143
2019-02-01,MARINA ANCOL,6,6,184,186
2019-02-02,MARINA ANCOL,12,12,336,270
2019-02-03,MARINA ANCOL,12,12,496,402
2019-02-04,MARINA ANCOL,8,9,275,252
2019-02-05,MARINA ANCOL,8,8,237,304
2019-02-06,MARINA ANCOL,8,8,280,209
2019-02-07,MARINA ANCOL,10,10,261,301
2019-02-08,MARINA ANCOL,5,5,212,251
2019-02-09,MARINA ANCOL,13,13,383,337
2019-02-10,MARINA ANCOL,11,11,277,311
2019-02-11,MARINA ANCOL,7,7,245,244
2019-02-12,MARINA ANCOL,5,5,185,148
2019-02-13,MARINA ANCOL,10,10,253,302
2019-02-14,MARINA ANCOL,9,9,213,294
2019-02-15,MARINA ANCOL,9,9,281,291
2019-02-16,MARINA ANCOL,14,14,494,204
2019-02-17,MARINA ANCOL,18,18,367,386
2019-02-18,MARINA ANCOL,14,14,350,322
2019-02-19,MARINA ANCOL,8,8,188,185
2019-02-20,MARINA ANCOL,9,9,265,297
2019-02-21,MARINA ANCOL,14,14,272,263
2019-02-22,MARINA ANCOL,9,9,235,225
2019-02-23,MARINA ANCOL,18,18,633,530
2019-02-24,MARINA ANCOL,17,17,286,335
2019-02-25,MARINA ANCOL,15,15,186,183
2019-02-26,MARINA ANCOL,16,16,237,215
2019-02-27,MARINA ANCOL,14,14,389,354
2019-02-28,MARINA ANCOL,12,12,281,283
2019-02-01,UNTUNG JAWA,3,3,89,111
2019-02-02,UNTUNG JAWA,7,6,214,205
2019-02-03,UNTUNG JAWA,7,6,234,257
2019-02-04,UNTUNG JAWA,5,4,138,147
2019-02-05,UNTUNG JAWA,10,9,415,425
2019-02-06,UNTUNG JAWA,6,5,176,179
2019-02-07,UNTUNG JAWA,6,5,141,127
2019-02-08,UNTUNG JAWA,4,3,109,111
2019-02-09,UNTUNG JAWA,6,5,132,124
2019-02-10,UNTUNG JAWA,8,7,290,212
2019-02-11,UNTUNG JAWA,5,4,111,49
2019-02-12,UNTUNG JAWA,5,3,139,70
2019-02-13,UNTUNG JAWA,6,5,137,99
2019-02-14,UNTUNG JAWA,7,5,115,104
2019-02-15,UNTUNG JAWA,6,5,85,95
2019-02-16,UNTUNG JAWA,10,8,213,227
2019-02-17,UNTUNG JAWA,9,7,247,233
2019-02-18,UNTUNG JAWA,5,3,113,107
2019-02-19,UNTUNG JAWA,6,4,81,89
2019-02-20,UNTUNG JAWA,5,4,74,63
2019-02-21,UNTUNG JAWA,6,4,99,115
2019-02-22,UNTUNG JAWA,4,3,131,124
2019-02-23,UNTUNG JAWA,8,6,179,203
2019-02-24,UNTUNG JAWA,9,8,281,268
2019-02-25,UNTUNG JAWA,5,4,121,114
2019-02-26,UNTUNG JAWA,5,4,69,61
2019-02-27,UNTUNG JAWA,5,4,98,99
2019-02-28,UNTUNG JAWA,5,3,96,91
2019-02-01,LANCANG,4,4,62,65
2019-02-02,LANCANG,4,4,81,63
2019-02-03,LANCANG,4,4,153,87
2019-02-04,LANCANG,4,4,61,91
2019-02-05,LANCANG,4,4,99,60
2019-02-06,LANCANG,4,4,80,78
2019-02-07,LANCANG,4,4,66,54
2019-02-08,LANCANG,3,3,74,54
2019-02-09,LANCANG,4,4,91,137
2019-02-10,LANCANG,4,4,186,94
2019-02-11,LANCANG,4,4,62,78
2019-02-12,LANCANG,4,4,51,48
2019-02-13,LANCANG,4,4,68,72
2019-02-14,LANCANG,4,4,38,73
2019-02-15,LANCANG,4,4,81,75
2019-02-16,LANCANG,4,4,111,120
2019-02-17,LANCANG,4,4,157,76
2019-02-18,LANCANG,4,4,79,84
2019-02-19,LANCANG,4,4,68,59
2019-02-20,LANCANG,4,4,64,76
2019-02-21,LANCANG,4,4,73,78
2019-02-22,LANCANG,4,4,84,9
2019-02-23,LANCANG,4,4,94,161
2019-02-24,LANCANG,4,4,180,128
2019-02-25,LANCANG,4,4,49,62
2019-02-26,LANCANG,4,4,53,50
2019-02-27,LANCANG,4,4,71,63
2019-02-28,LANCANG,4,4,52,89
2019-02-01,PARI,4,3,38,45
2019-02-02,PARI,3,4,45,190
2019-02-03,PARI,4,3,234,78
2019-02-04,PARI,3,4,45,75
2019-02-05,PARI,3,4,47,101
2019-02-06,PARI,4,4,85,119
2019-02-07,PARI,5,4,107,46
2019-02-08,PARI,4,4,63,58
2019-02-09,PARI,3,5,54,269
2019-02-10,PARI,4,4,223,50
2019-02-11,PARI,4,4,59,60
2019-02-12,PARI,4,4,72,84
2019-02-13,PARI,3,4,48,90
2019-02-14,PARI,4,4,110,52
2019-02-15,PARI,4,4,67,80
2019-02-16,PARI,4,6,65,372
2019-02-17,PARI,6,3,391,55
2019-02-18,PARI,4,4,55,52
2019-02-19,PARI,4,4,84,75
2019-02-20,PARI,4,4,52,61
2019-02-21,PARI,4,5,58,53
2019-02-22,PARI,4,4,62,75
2019-02-23,PARI,4,5,75,396
2019-02-24,PARI,6,4,399,53
2019-02-25,PARI,3,4,37,33
2019-02-26,PARI,3,4,30,36
2019-02-27,PARI,3,4,47,76
2019-02-28,PARI,4,4,86,133
2019-02-01,TIDUNG/PAYUNG,5,4,155,108
2019-02-02,TIDUNG/PAYUNG,4,5,74,231
2019-02-03,TIDUNG/PAYUNG,5,4,262,190
2019-02-04,TIDUNG/PAYUNG,3,3,109,73
2019-02-05,TIDUNG/PAYUNG,3,3,124,73
2019-02-06,TIDUNG/PAYUNG,4,3,93,90
2019-02-07,TIDUNG/PAYUNG,4,4,96,76
2019-02-08,TIDUNG/PAYUNG,4,6,135,196
2019-02-09,TIDUNG/PAYUNG,4,6,117,200
2019-02-10,TIDUNG/PAYUNG,6,4,424,179
2019-02-11,TIDUNG/PAYUNG,3,4,98,156
2019-02-12,TIDUNG/PAYUNG,4,3,95,77
2019-02-13,TIDUNG/PAYUNG,3,4,97,126
2019-02-14,TIDUNG/PAYUNG,4,3,107,61
2019-02-15,TIDUNG/PAYUNG,5,4,115,103
2019-02-16,TIDUNG/PAYUNG,4,6,59,318
2019-02-17,TIDUNG/PAYUNG,6,4,292,108
2019-02-18,TIDUNG/PAYUNG,4,4,134,105
2019-02-19,TIDUNG/PAYUNG,3,4,47,61
2019-02-20,TIDUNG/PAYUNG,4,3,127,116
2019-02-21,TIDUNG/PAYUNG,3,4,103,70
2019-02-22,TIDUNG/PAYUNG,7,6,178,182
2019-02-23,TIDUNG/PAYUNG,5,6,134,152
2019-02-24,TIDUNG/PAYUNG,5,4,305,132
2019-02-25,TIDUNG/PAYUNG,3,4,69,98
2019-02-26,TIDUNG/PAYUNG,4,3,110,68
2019-02-27,TIDUNG/PAYUNG,8,8,347,421
2019-02-28,TIDUNG/PAYUNG,4,3,100,81
2019-02-01,PRAMUKA/PANGGANG,4,4,153,123
2019-02-02,PRAMUKA/PANGGANG,2,3,124,245
2019-02-03,PRAMUKA/PANGGANG,3,3,77,200
2019-02-04,PRAMUKA/PANGGANG,2,2,133,128
2019-02-05,PRAMUKA/PANGGANG,3,2,142,82
2019-02-06,PRAMUKA/PANGGANG,4,4,159,99
2019-02-07,PRAMUKA/PANGGANG,3,3,78,149
2019-02-08,PRAMUKA/PANGGANG,2,3,53,78
2019-02-09,PRAMUKA/PANGGANG,3,5,119,372
2019-02-10,PRAMUKA/PANGGANG,5,3,342,105
2019-02-11,PRAMUKA/PANGGANG,3,4,112,115
2019-02-12,PRAMUKA/PANGGANG,5,4,126,185
2019-02-13,PRAMUKA/PANGGANG,3,4,73,121
2019-02-14,PRAMUKA/PANGGANG,4,4,148,159
2019-02-15,PRAMUKA/PANGGANG,5,4,171,119
2019-02-16,PRAMUKA/PANGGANG,3,5,106,384
2019-02-17,PRAMUKA/PANGGANG,4,3,169,146
2019-02-18,PRAMUKA/PANGGANG,3,3,156,147
2019-02-19,PRAMUKA/PANGGANG,3,3,172,107
2019-02-20,PRAMUKA/PANGGANG,4,4,116,129
2019-02-21,PRAMUKA/PANGGANG,5,4,154,132
2019-02-22,PRAMUKA/PANGGANG,4,3,179,149
2019-02-23,PRAMUKA/PANGGANG,3,5,169,341
2019-02-24,PRAMUKA/PANGGANG,5,4,156,178
2019-02-25,PRAMUKA/PANGGANG,4,4,159,168
2019-02-26,PRAMUKA/PANGGANG,4,3,91,87
2019-02-27,PRAMUKA/PANGGANG,5,4,178,146
2019-02-28,PRAMUKA/PANGGANG,3,4,148,163
2019-02-01,KELAPA,4,4,143,85
2019-02-02,KELAPA,3,5,50,156
2019-02-03,KELAPA,3,3,77,200
2019-02-04,KELAPA,4,5,91,98
2019-02-05,KELAPA,5,4,125,84
2019-02-06,KELAPA,4,6,46,184
2019-02-07,KELAPA,8,6,175,109
2019-02-08,KELAPA,4,4,150,79
2019-02-09,KELAPA,4,5,75,139
2019-02-10,KELAPA,5,3,161,95
2019-02-11,KELAPA,3,3,73,74
2019-02-12,KELAPA,6,3,112,97
2019-02-13,KELAPA,4,7,48,103
2019-02-14,KELAPA,6,4,112,86
2019-02-15,KELAPA,4,4,72,104
2019-02-16,KELAPA,5,5,69,174
2019-02-17,KELAPA,5,5,119,92
2019-02-18,KELAPA,4,5,101,83
2019-02-19,KELAPA,5,5,129,100
2019-02-20,KELAPA,3,4,53,106
2019-02-21,KELAPA,5,5,106,85
2019-02-22,KELAPA,5,4,104,63
2019-02-23,KELAPA,5,6,74,146
2019-02-24,KELAPA,5,4,109,87
2019-02-25,KELAPA,1,2,7,49
2019-02-26,KELAPA,5,4,109,116
2019-02-27,KELAPA,5,6,108,88
2019-02-28,KELAPA,5,4,129,87
2019-02-01,HARAPAN,1,1,39,17
2019-02-02,HARAPAN,1,4,10,245
2019-02-03,HARAPAN,3,1,265,29
2019-02-04,HARAPAN,1,1,9,13
2019-02-05,HARAPAN,1,1,7,5
2019-02-06,HARAPAN,1,1,7,10
2019-02-07,HARAPAN,2,2,33,30
2019-02-08,HARAPAN,2,1,53,26
2019-02-09,HARAPAN,3,1,385,6
2019-02-10,HARAPAN,1,3,91,67
2019-02-11,HARAPAN,1,3,22,91
2019-02-12,HARAPAN,1,1,9,18
2019-02-13,HARAPAN,1,1,13,10
2019-02-14,HARAPAN,2,2,60,18
2019-02-15,HARAPAN,2,1,28,7
2019-02-16,HARAPAN,3,3,39,333
2019-02-17,HARAPAN,3,1,350,8
2019-02-18,HARAPAN,1,2,14,26
2019-02-19,HARAPAN,1,1,11,15
2019-02-20,HARAPAN,1,2,23,29
2019-02-21,HARAPAN,3,3,40,24
2019-02-22,HARAPAN,1,2,11,8
2019-02-23,HARAPAN,1,3,5,327
2019-02-24,HARAPAN,3,2,335,8
2019-02-25,HARAPAN,1,2,7,49
2019-02-26,HARAPAN,2,2,24,33
2019-02-27,HARAPAN,1,1,6,14
2019-02-28,HARAPAN,2,1,27,15
