tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-01-01,P. MUARA ANGKE,8,14,213,1383
2019-01-02,P. MUARA ANGKE,8,6,203,445
2019-01-03,P. MUARA ANGKE,8,7,365,243
2019-01-04,P. MUARA ANGKE,8,11,361,385
2019-01-05,P. MUARA ANGKE,10,9,667,299
2019-01-06,P. MUARA ANGKE,9,12,579,481
2019-01-07,P. MUARA ANGKE,6,5,278,119
2019-01-08,P. MUARA ANGKE,7,7,215,172
2019-01-09,P. MUARA ANGKE,7,7,124,175
2019-01-10,P. MUARA ANGKE,7,8,172,131
2019-01-11,P. MUARA ANGKE,9,11,212,260
2019-01-12,P. MUARA ANGKE,11,8,662,271
2019-01-13,P. MUARA ANGKE,8,10,293,651
2019-01-14,P. MUARA ANGKE,8,7,208,181
2019-01-15,P. MUARA ANGKE,7,6,135,136
2019-01-16,P. MUARA ANGKE,6,7,186,163
2019-01-17,P. MUARA ANGKE,6,8,170,168
2019-01-18,P. MUARA ANGKE,8,11,223,254
2019-01-19,P. MUARA ANGKE,11,8,571,175
2019-01-20,P. MUARA ANGKE,7,10,294,510
2019-01-21,P. MUARA ANGKE,9,7,151,198
2019-01-22,P. MUARA ANGKE,7,8,165,130
2019-01-23,P. MUARA ANGKE,7,5,124,175
2019-01-24,P. MUARA ANGKE,5,6,165,179
2019-01-25,P. MUARA ANGKE,7,11,149,220
2019-01-26,P. MUARA ANGKE,10,6,508,166
2019-01-27,P. MUARA ANGKE,4,6,264,429
2019-01-28,P. MUARA ANGKE,6,3,160,107
2019-01-29,P. MUARA ANGKE,5,5,109,171
2019-01-30,P. MUARA ANGKE,5,5,97,120
2019-01-31,P. MUARA ANGKE,5,8,82,178
2019-01-01,MARINA ANCOL,6,10,124,603
2019-01-02,MARINA ANCOL,6,6,225,446
2019-01-03,MARINA ANCOL,4,4,224,240
2019-01-04,MARINA ANCOL,10,10,213,250
2019-01-05,MARINA ANCOL,7,7,345,266
2019-01-06,MARINA ANCOL,10,10,303,222
2019-01-07,MARINA ANCOL,11,11,503,166
2019-01-08,MARINA ANCOL,7,7,207,156
2019-01-09,MARINA ANCOL,10,10,180,182
2019-01-10,MARINA ANCOL,5,5,179,169
2019-01-11,MARINA ANCOL,7,7,228,224
2019-01-12,MARINA ANCOL,8,8,403,356
2019-01-13,MARINA ANCOL,7,8,275,372
2019-01-14,MARINA ANCOL,13,13,259,189
2019-01-15,MARINA ANCOL,9,9,255,236
2019-01-16,MARINA ANCOL,11,11,271,236
2019-01-17,MARINA ANCOL,7,7,247,260
2019-01-18,MARINA ANCOL,9,9,211,273
2019-01-19,MARINA ANCOL,12,13,423,381
2019-01-20,MARINA ANCOL,12,12,310,386
2019-01-21,MARINA ANCOL,6,6,200,158
2019-01-22,MARINA ANCOL,11,11,217,219
2019-01-23,MARINA ANCOL,5,5,201,146
2019-01-24,MARINA ANCOL,6,6,169,177
2019-01-25,MARINA ANCOL,3,3,140,323
2019-01-26,MARINA ANCOL,13,13,509,341
2019-01-27,MARINA ANCOL,8,8,359,329
2019-01-28,MARINA ANCOL,5,5,273,221
2019-01-29,MARINA ANCOL,7,7,315,225
2019-01-30,MARINA ANCOL,7,7,232,253
2019-01-31,MARINA ANCOL,11,11,216,80
2019-01-01,UNTUNG JAWA,5,5,223,106
2019-01-02,UNTUNG JAWA,6,5,238,208
2019-01-03,UNTUNG JAWA,5,4,136,140
2019-01-04,UNTUNG JAWA,4,3,144,138
2019-01-05,UNTUNG JAWA,7,6,203,216
2019-01-06,UNTUNG JAWA,8,6,213,205
2019-01-07,UNTUNG JAWA,5,5,162,138
2019-01-08,UNTUNG JAWA,5,4,134,158
2019-01-09,UNTUNG JAWA,5,4,92,109
2019-01-10,UNTUNG JAWA,4,3,84,76
2019-01-11,UNTUNG JAWA,5,4,91,99
2019-01-12,UNTUNG JAWA,7,6,141,126
2019-01-13,UNTUNG JAWA,8,6,163,147
2019-01-14,UNTUNG JAWA,5,4,111,118
2019-01-15,UNTUNG JAWA,5,4,114,107
2019-01-16,UNTUNG JAWA,6,5,142,142
2019-01-17,UNTUNG JAWA,5,4,83,102
2019-01-18,UNTUNG JAWA,4,3,78,83
2019-01-19,UNTUNG JAWA,5,5,135,183
2019-01-20,UNTUNG JAWA,8,8,219,203
2019-01-21,UNTUNG JAWA,5,4,131,129
2019-01-22,UNTUNG JAWA,3,3,59,42
2019-01-23,UNTUNG JAWA,3,3,62,76
2019-01-24,UNTUNG JAWA,3,2,66,59
2019-01-25,UNTUNG JAWA,3,3,64,79
