tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-07-01,P. MUARA ANGKE,15,14,961,932
2019-07-02,P. MUARA ANGKE,14,11,1183,777
2019-07-03,P. MUARA ANGKE,12,12,1169,1089
2019-07-04,P. MUARA ANGKE,10,15,790,1206
2019-07-05,P. MUARA ANGKE,13,27,1552,1032
2019-07-06,P. MUARA ANGKE,34,16,6450,1136
2019-07-07,P. MUARA ANGKE,12,33,1492,6393
2019-07-08,P. MUARA ANGKE,22,14,1339,1225
2019-07-09,P. MUARA ANGKE,11,11,1015,1033
2019-07-10,P. MUARA ANGKE,12,10,977,1120
2019-07-11,P. MUARA ANGKE,12,15,1004,908
2019-07-12,P. MUARA ANGKE,13,20,1153,1065
2019-07-13,P. MUARA ANGKE,26,13,4688,908
2019-07-14,P. MUARA ANGKE,11,28,622,4386
2019-07-15,P. MUARA ANGKE,13,10,501,369
2019-07-16,P. MUARA ANGKE,10,11,388,395
2019-07-17,P. MUARA ANGKE,11,10,340,435
2019-07-18,P. MUARA ANGKE,11,11,458,344
2019-07-19,P. MUARA ANGKE,12,19,593,463
2019-07-20,P. MUARA ANGKE,24,13,3566,424
2019-07-21,P. MUARA ANGKE,11,21,455,3137
2019-07-22,P. MUARA ANGKE,11,11,267,319
2019-07-23,P. MUARA ANGKE,11,11,498,212
2019-07-24,P. MUARA ANGKE,10,10,448,515
2019-07-25,P. MUARA ANGKE,9,12,380,480
2019-07-26,P. MUARA ANGKE,13,26,559,431
2019-07-27,P. MUARA ANGKE,30,19,5388,306
2019-07-28,P. MUARA ANGKE,13,33,878,5596
2019-07-29,P. MUARA ANGKE,15,12,400,672
2019-07-30,P. MUARA ANGKE,9,11,490,558
2019-07-31,P. MUARA ANGKE,10,9,285,506
2019-07-01,MARINA ANCOL,11,11,288,295
2019-07-02,MARINA ANCOL,12,12,715,695
2019-07-03,MARINA ANCOL,24,24,605,540
2019-07-04,MARINA ANCOL,10,10,331,325
2019-07-05,MARINA ANCOL,21,21,559,591
2019-07-06,MARINA ANCOL,19,19,611,587
2019-07-07,MARINA ANCOL,17,17,343,435
2019-07-08,MARINA ANCOL,10,10,387,336
2019-07-09,MARINA ANCOL,14,14,328,384
2019-07-10,MARINA ANCOL,15,15,438,429
2019-07-11,MARINA ANCOL,18,18,425,444
2019-07-12,MARINA ANCOL,16,16,349,344
2019-07-13,MARINA ANCOL,24,24,897,823
2019-07-14,MARINA ANCOL,16,16,336,480
2019-07-15,MARINA ANCOL,16,16,489,348
2019-07-16,MARINA ANCOL,16,16,546,555
2019-07-17,MARINA ANCOL,12,12,256,578
2019-07-18,MARINA ANCOL,14,14,438,334
2019-07-19,MARINA ANCOL,17,17,403,379
2019-07-20,MARINA ANCOL,13,13,487,481
2019-07-21,MARINA ANCOL,11,11,294,270
2019-07-22,MARINA ANCOL,8,8,254,237
2019-07-23,MARINA ANCOL,25,25,845,992
2019-07-24,MARINA ANCOL,22,22,519,566
2019-07-25,MARINA ANCOL,11,11,444,403
2019-07-26,MARINA ANCOL,13,13,278,292
2019-07-27,MARINA ANCOL,17,17,630,927
2019-07-28,MARINA ANCOL,16,16,684,671
2019-07-29,MARINA ANCOL,18,18,578,765
2019-07-30,MARINA ANCOL,15,15,453,576
2019-07-31,MARINA ANCOL,16,16,689,980
2019-07-01,UNTUNG JAWA,7,6,199,191
2019-07-02,UNTUNG JAWA,8,6,195,185
2019-07-03,UNTUNG JAWA,12,11,355,373
2019-07-04,UNTUNG JAWA,13,13,396,340
2019-07-05,UNTUNG JAWA,9,8,275,242
2019-07-06,UNTUNG JAWA,15,18,592,785
2019-07-07,UNTUNG JAWA,27,22,1615,1287
2019-07-08,UNTUNG JAWA,10,9,275,288
2019-07-09,UNTUNG JAWA,8,8,288,249
2019-07-10,UNTUNG JAWA,7,5,186,164
2019-07-11,UNTUNG JAWA,10,8,316,346
2019-07-12,UNTUNG JAWA,10,8,210,191
2019-07-13,UNTUNG JAWA,13,15,493,450
2019-07-14,UNTUNG JAWA,21,20,799,786
2019-07-15,UNTUNG JAWA,6,5,107,92
2019-07-16,UNTUNG JAWA,8,6,133,156
2019-07-17,UNTUNG JAWA,6,5,84,80
2019-07-18,UNTUNG JAWA,6,5,78,86
2019-07-19,UNTUNG JAWA,6,4,107,120
2019-07-20,UNTUNG JAWA,15,15,372,406
2019-07-21,UNTUNG JAWA,15,13,570,547
2019-07-22,UNTUNG JAWA,5,3,95,87
2019-07-23,UNTUNG JAWA,6,5,84,87
2019-07-24,UNTUNG JAWA,6,4,75,66
2019-07-25,UNTUNG JAWA,6,4,97,89
2019-07-26,UNTUNG JAWA,6,4,74,85
2019-07-27,UNTUNG JAWA,11,10,214,231
2019-07-28,UNTUNG JAWA,11,11,669,644
2019-07-29,UNTUNG JAWA,6,5,129,139
2019-07-30,UNTUNG JAWA,6,5,84,75
2019-07-31,UNTUNG JAWA,5,4,111,133
2019-07-01,LANCANG,4,4,108,63
2019-07-02,LANCANG,4,4,52,48
2019-07-03,LANCANG,4,4,45,49
2019-07-04,LANCANG,4,4,40,67
2019-07-05,LANCANG,4,4,71,82
2019-07-06,LANCANG,4,4,68,160
2019-07-07,LANCANG,4,4,239,90
2019-07-08,LANCANG,4,4,80,96
2019-07-09,LANCANG,4,4,60,70
2019-07-10,LANCANG,4,4,78,76
2019-07-11,LANCANG,4,4,95,63
2019-07-12,LANCANG,4,4,74,84
2019-07-13,LANCANG,4,4,70,105
2019-07-14,LANCANG,4,4,162,75
2019-07-15,LANCANG,4,4,60,66
2019-07-16,LANCANG,4,4,60,56
2019-07-17,LANCANG,4,4,47,46
2019-07-18,LANCANG,3,3,36,59
2019-07-19,LANCANG,4,4,51,32
2019-07-20,LANCANG,3,3,67,53
2019-07-21,LANCANG,4,4,79,74
2019-07-22,LANCANG,4,4,57,46
2019-07-23,LANCANG,4,4,45,44
2019-07-24,LANCANG,4,4,42,44
2019-07-25,LANCANG,3,3,36,50
2019-07-26,LANCANG,4,4,47,46
2019-07-27,LANCANG,4,4,84,102
2019-07-28,LANCANG,4,4,82,116
2019-07-29,LANCANG,4,4,56,55
2019-07-30,LANCANG,4,4,51,56
2019-07-31,LANCANG,4,4,53,51
2019-07-01,PARI,5,5,347,311
2019-07-02,PARI,5,8,388,700
2019-07-03,PARI,6,8,538,764
2019-07-04,PARI,7,5,590,481
2019-07-05,PARI,5,5,417,608
2019-07-06,PARI,6,16,359,2116
2019-07-07,PARI,17,11,2675,962
2019-07-08,PARI,3,6,229,563
2019-07-09,PARI,6,7,617,584
2019-07-10,PARI,5,7,475,562
2019-07-11,PARI,6,5,471,452
2019-07-12,PARI,5,6,293,294
2019-07-13,PARI,8,13,481,1579
2019-07-14,PARI,12,5,1655,174
2019-07-15,PARI,5,5,132,196
2019-07-16,PARI,5,5,182,177
2019-07-17,PARI,5,5,150,161
2019-07-18,PARI,5,5,175,194
2019-07-19,PARI,5,5,150,261
2019-07-20,PARI,5,11,182,1255
2019-07-21,PARI,14,9,1046,282
2019-07-22,PARI,4,5,115,154
2019-07-23,PARI,5,5,111,175
2019-07-24,PARI,5,5,185,198
2019-07-25,PARI,5,5,193,181
2019-07-26,PARI,5,5,182,222
2019-07-27,PARI,5,13,199,1594
2019-07-28,PARI,9,6,1186,263
2019-07-29,PARI,7,5,587,493
2019-07-30,PARI,5,4,241,139
2019-07-31,PARI,6,6,301,218
2019-07-01,TIDUNG / PAYUNG,3,3,298,413
2019-07-02,TIDUNG / PAYUNG,4,4,397,385
2019-07-03,TIDUNG / PAYUNG,8,7,416,379
2019-07-04,TIDUNG / PAYUNG,4,4,387,361
2019-07-05,TIDUNG / PAYUNG,8,8,501,838
2019-07-06,TIDUNG / PAYUNG,6,15,908,2133
2019-07-07,TIDUNG / PAYUNG,16,10,2310,609
2019-07-08,TIDUNG / PAYUNG,6,7,563,459
2019-07-09,TIDUNG / PAYUNG,4,4,454,347
2019-07-10,TIDUNG / PAYUNG,4,5,408,357
2019-07-11,TIDUNG / PAYUNG,5,7,395,425
2019-07-12,TIDUNG / PAYUNG,10,7,432,635
2019-07-13,TIDUNG / PAYUNG,7,12,55,1846
2019-07-14,TIDUNG / PAYUNG,13,6,1587,315
