tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-06-01,P. MUARA ANGKE,15,10,1519,568
2019-06-02,P. MUARA ANGKE,10,19,1143,981
2019-06-03,P. MUARA ANGKE,19,16,1755,551
2019-06-04,P. MUARA ANGKE,17,17,1677,936
2019-06-05,P. MUARA ANGKE,15,20,2019,871
2019-06-06,P. MUARA ANGKE,22,21,3849,1548
2019-06-07,P. MUARA ANGKE,38,28,6837,3002
2019-06-08,P. MUARA ANGKE,42,34,7370,4843
2019-06-09,P. MUARA ANGKE,36,53,2229,8640
2019-06-10,P. MUARA ANGKE,18,19,1846,2569
2019-06-11,P. MUARA ANGKE,16,14,1709,1940
2019-06-12,P. MUARA ANGKE,13,14,1630,2064
2019-06-13,P. MUARA ANGKE,12,11,976,1287
2019-06-14,P. MUARA ANGKE,12,18,1507,1206
2019-06-15,P. MUARA ANGKE,22,14,3916,1288
2019-06-16,P. MUARA ANGKE,12,25,765,4186
2019-06-17,P. MUARA ANGKE,13,11,689,814
2019-06-18,P. MUARA ANGKE,10,6,553,411
2019-06-19,P. MUARA ANGKE,6,9,578,577
2019-06-20,P. MUARA ANGKE,8,9,480,612
2019-06-21,P. MUARA ANGKE,10,19,997,702
2019-06-22,P. MUARA ANGKE,20,9,3092,548
2019-06-23,P. MUARA ANGKE,9,21,664,3354
2019-06-24,P. MUARA ANGKE,14,7,940,697
2019-06-25,P. MUARA ANGKE,8,10,633,690
2019-06-26,P. MUARA ANGKE,8,8,682,562
2019-06-27,P. MUARA ANGKE,9,8,628,683
2019-06-28,P. MUARA ANGKE,9,22,1151,827
2019-06-29,P. MUARA ANGKE,28,14,4933,832
2019-06-30,P. MUARA ANGKE,12,27,903,5122
2019-06-01,MARINA ANCOL,23,23,509,487
2019-06-02,MARINA ANCOL,17,17,571,491
2019-06-03,MARINA ANCOL,13,13,783,656
2019-06-04,MARINA ANCOL,18,18,634,599
2019-06-05,MARINA ANCOL,11,11,954,873
2019-06-06,MARINA ANCOL,11,11,583,499
2019-06-07,MARINA ANCOL,13,13,421,387
2019-06-08,MARINA ANCOL,21,21,634,584
2019-06-09,MARINA ANCOL,25,25,910,851
2019-06-10,MARINA ANCOL,9,9,455,384
2019-06-11,MARINA ANCOL,19,19,763,694
2019-06-12,MARINA ANCOL,15,15,463,411
2019-06-13,MARINA ANCOL,10,10,243,229
2019-06-14,MARINA ANCOL,11,11,269,187
2019-06-15,MARINA ANCOL,13,13,481,365
2019-06-16,MARINA ANCOL,7,7,199,166
2019-06-17,MARINA ANCOL,9,9,296,210
2019-06-18,MARINA ANCOL,10,10,137,113
2019-06-19,MARINA ANCOL,15,15,394,339
2019-06-20,MARINA ANCOL,14,14,271,263
2019-06-21,MARINA ANCOL,10,10,1769,143
2019-06-22,MARINA ANCOL,30,30,967,891
2019-06-23,MARINA ANCOL,29,29,876,766
2019-06-24,MARINA ANCOL,15,15,333,365
2019-06-25,MARINA ANCOL,12,12,175,132
2019-06-26,MARINA ANCOL,19,19,200,187
2019-06-27,MARINA ANCOL,17,17,312,255
2019-06-28,MARINA ANCOL,16,16,221,210
2019-06-29,MARINA ANCOL,8,8,134,127
2019-06-30,MARINA ANCOL,12,12,156,130
2019-06-01,UNTUNG JAWA,9,7,267,232
2019-06-02,UNTUNG JAWA,8,7,248,298
2019-06-03,UNTUNG JAWA,8,9,427,317
2019-06-04,UNTUNG JAWA,9,11,422,354
2019-06-05,UNTUNG JAWA,10,39,826,1443
2019-06-06,UNTUNG JAWA,38,45,3618,4137
2019-06-07,UNTUNG JAWA,41,45,3103,3802
2019-06-08,UNTUNG JAWA,68,57,5432,5937
2019-06-09,UNTUNG JAWA,65,47,5292,4746
2019-06-10,UNTUNG JAWA,53,50,3756,4457
2019-06-11,UNTUNG JAWA,22,48,1930,1758
2019-06-12,UNTUNG JAWA,13,35,1157,1100
2019-06-13,UNTUNG JAWA,12,21,763,747
2019-06-14,UNTUNG JAWA,5,18,290,330
2019-06-15,UNTUNG JAWA,12,44,933,1243
2019-06-16,UNTUNG JAWA,30,53,2250,1913
2019-06-17,UNTUNG JAWA,8,7,269,206
2019-06-18,UNTUNG JAWA,8,7,176,189
2019-06-19,UNTUNG JAWA,7,6,162,186
2019-06-20,UNTUNG JAWA,7,6,150,158
2019-06-21,UNTUNG JAWA,7,6,150,158
2019-06-22,UNTUNG JAWA,14,16,493,553
2019-06-23,UNTUNG JAWA,17,20,1130,1098
2019-06-24,UNTUNG JAWA,7,5,161,164
2019-06-25,UNTUNG JAWA,8,7,146,135
2019-06-26,UNTUNG JAWA,7,6,129,114
2019-06-27,UNTUNG JAWA,7,5,137,141
2019-06-28,UNTUNG JAWA,7,6,127,113
2019-06-29,UNTUNG JAWA,10,11,265,404
2019-06-30,UNTUNG JAWA,11,9,345,294
2019-06-01,LANCANG,4,4,180,166
2019-06-02,LANCANG,4,4,181,209
2019-06-03,LANCANG,4,4,145,161
2019-06-04,LANCANG,4,4,93,88
2019-06-05,LANCANG,6,6,333,157
2019-06-06,LANCANG,5,4,325,357
2019-06-07,LANCANG,5,5,259,543
2019-06-08,LANCANG,5,6,381,623
2019-06-09,LANCANG,6,4,711,355
2019-06-10,LANCANG,5,5,651,736
2019-06-11,LANCANG,4,4,215,149
2019-06-12,LANCANG,4,4,167,140
2019-06-13,LANCANG,4,4,115,110
2019-06-14,LANCANG,4,4,67,66
2019-06-15,LANCANG,4,4,75,133
2019-06-16,LANCANG,4,4,156,243
2019-06-17,LANCANG,4,4,125,88
2019-06-18,LANCANG,4,4,81,78
2019-06-19,LANCANG,4,4,89,72
2019-06-20,LANCANG,4,4,71,68
2019-06-21,LANCANG,4,4,78,68
2019-06-22,LANCANG,4,4,73,95
2019-06-23,LANCANG,4,4,101,66
2019-06-24,LANCANG,4,4,53,51
2019-06-25,LANCANG,4,4,52,45
2019-06-26,LANCANG,4,4,85,131
2019-06-27,LANCANG,4,4,79,68
2019-06-28,LANCANG,4,4,73,77
2019-06-29,LANCANG,4,4,87,73
2019-06-30,LANCANG,4,4,73,65
2019-06-01,PARI,4,7,157,444
2019-06-02,PARI,5,5,262,244
2019-06-03,PARI,5,6,288,653
2019-06-04,PARI,10,9,530,687
2019-06-05,PARI,7,7,332,781
2019-06-06,PARI,8,11,773,1422
2019-06-07,PARI,9,25,1320,2703
2019-06-08,PARI,20,25,2510,3200
2019-06-09,PARI,22,20,3412,1180
2019-06-10,PARI,12,15,1175,1223
2019-06-11,PARI,12,9,1145,796
2019-06-12,PARI,10,11,965,882
2019-06-13,PARI,6,6,738,373
2019-06-14,PARI,5,5,454,495
2019-06-15,PARI,5,13,588,1957
2019-06-16,PARI,15,9,2066,1025
2019-06-17,PARI,4,5,304,276
2019-06-18,PARI,5,5,259,322
2019-06-19,PARI,4,5,149,331
2019-06-20,PARI,4,4,314,220
2019-06-21,PARI,4,4,261,331
2019-06-22,PARI,4,11,222,1121
2019-06-23,PARI,8,4,1089,265
2019-06-24,PARI,4,7,348,337
2019-06-25,PARI,4,4,239,292
2019-06-26,PARI,6,4,277,290
2019-06-27,PARI,4,4,376,280
2019-06-28,PARI,4,4,210,420
2019-06-29,PARI,4,19,336,2356
2019-06-30,PARI,11,15,569,793
2019-06-01,TIDUNG/PAYUNG,4,5,168,544
2019-06-02,TIDUNG/PAYUNG,7,4,331,466
2019-06-03,TIDUNG/PAYUNG,7,9,340,654
2019-06-04,TIDUNG/PAYUNG,6,7,423,662
2019-06-05,TIDUNG/PAYUNG,6,4,318,613
2019-06-06,TIDUNG/PAYUNG,8,10,792,1585
2019-06-07,TIDUNG/PAYUNG,12,16,1377,2521
2019-06-08,TIDUNG/PAYUNG,13,15,1782,2063
2019-06-09,TIDUNG/PAYUNG,23,12,2716,781
2019-06-10,TIDUNG/PAYUNG,6,5,881,812
2019-06-11,TIDUNG/PAYUNG,10,8,773,689
2019-06-12,TIDUNG/PAYUNG,6,6,786,561
2019-06-13,TIDUNG/PAYUNG,4,4,483,290
2019-06-14,TIDUNG/PAYUNG,7,7,402,681
2019-06-15,TIDUNG/PAYUNG,4,7,394,927
2019-06-16,TIDUNG/PAYUNG,8,4,1235,330
2019-06-17,TIDUNG/PAYUNG,4,4,285,233
2019-06-18,TIDUNG/PAYUNG,3,3,182,124
2019-06-19,TIDUNG/PAYUNG,4,5,247,175
2019-06-20,TIDUNG/PAYUNG,3,3,218,162
2019-06-21,TIDUNG/PAYUNG,6,4,218,402
2019-06-22,TIDUNG/PAYUNG,4,10,235,1318
2019-06-23,TIDUNG/PAYUNG,8,5,1458,346
2019-06-24,TIDUNG/PAYUNG,2,2,56,85
2019-06-25,TIDUNG/PAYUNG,3,3,267,276
2019-06-26,TIDUNG/PAYUNG,4,4,300,336
2019-06-27,TIDUNG/PAYUNG,3,3,413,246
2019-06-28,TIDUNG/PAYUNG,5,4,445,587
2019-06-29,TIDUNG/PAYUNG,4,9,359,1471
2019-06-30,TIDUNG/PAYUNG,9,5,1649,318
2019-06-01,PRAMUKA/PANGGANG,3,4,289,425
2019-06-02,PRAMUKA/PANGGANG,4,4,288,475
2019-06-03,PRAMUKA/PANGGANG,4,7,137,509
2019-06-04,PRAMUKA/PANGGANG,5,5,294,339
2019-06-05,PRAMUKA/PANGGANG,3,5,187,393
2019-06-06,PRAMUKA/PANGGANG,6,6,502,705
2019-06-07,PRAMUKA/PANGGANG,5,7,427,781
2019-06-08,PRAMUKA/PANGGANG,10,10,880,963
2019-06-09,PRAMUKA/PANGGANG,13,5,1523,397
2019-06-10,PRAMUKA/PANGGANG,5,4,398,315
2019-06-11,PRAMUKA/PANGGANG,6,5,556,293
2019-06-12,PRAMUKA/PANGGANG,3,4,235,298
2019-06-13,PRAMUKA/PANGGANG,4,6,275,285
2019-06-14,PRAMUKA/PANGGANG,3,3,133,180
2019-06-15,PRAMUKA/PANGGANG,3,7,177,634
2019-06-16,PRAMUKA/PANGGANG,8,3,909,236
2019-06-17,PRAMUKA/PANGGANG,3,4,129,200
2019-06-18,PRAMUKA/PANGGANG,3,3,151,150
2019-06-19,PRAMUKA/PANGGANG,3,3,222,223
2019-06-20,PRAMUKA/PANGGANG,4,3,176,132
2019-06-21,PRAMUKA/PANGGANG,3,3,193,224
2019-06-22,PRAMUKA/PANGGANG,3,3,130,125
2019-06-23,PRAMUKA/PANGGANG,3,3,158,185
2019-06-24,PRAMUKA/PANGGANG,3,3,130,210
2019-06-25,PRAMUKA/PANGGANG,3,3,161,220
2019-06-26,PRAMUKA/PANGGANG,3,3,160,165
2019-06-27,PRAMUKA/PANGGANG,3,3,143,131
2019-06-28,PRAMUKA/PANGGANG,3,5,200,522
2019-06-29,PRAMUKA/PANGGANG,5,4,198,177
