tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-03-01,P. MUARA ANGKE,5,11,252,295
2019-03-02,P. MUARA ANGKE,13,6,1615,200
2019-03-03,P. MUARA ANGKE,6,12,399,1407
2019-03-04,P. MUARA ANGKE,9,8,197,280
2019-03-05,P. MUARA ANGKE,6,4,347,121
2019-03-06,P. MUARA ANGKE,6,4,178,225
2019-03-07,P. MUARA ANGKE,4,6,400,275
2019-03-08,P. MUARA ANGKE,6,15,637,268
2019-03-09,P. MUARA ANGKE,21,7,3078,322
2019-03-10,P. MUARA ANGKE,7,25,529,3173
2019-03-11,P. MUARA ANGKE,10,8,198,366
2019-03-12,P. MUARA ANGKE,8,6,186,160
2019-03-13,P. MUARA ANGKE,8,4,387,158
2019-03-14,P. MUARA ANGKE,4,8,160,390
2019-03-15,P. MUARA ANGKE,7,12,333,317
2019-03-16,P. MUARA ANGKE,14,6,1326,228
2019-03-17,P. MUARA ANGKE,6,14,311,1327
2019-03-18,P. MUARA ANGKE,12,7,253,256
2019-03-19,P. MUARA ANGKE,6,6,164,149
2019-03-20,P. MUARA ANGKE,6,6,177,220
2019-03-21,P. MUARA ANGKE,6,8,146,175
2019-03-22,P. MUARA ANGKE,7,14,212,283
2019-03-23,P. MUARA ANGKE,15,7,1189,220
2019-03-24,P. MUARA ANGKE,7,12,331,1037
2019-03-25,P. MUARA ANGKE,7,5,261,178
2019-03-26,P. MUARA ANGKE,7,8,250,157
2019-03-27,P. MUARA ANGKE,8,5,279,174
2019-03-28,P. MUARA ANGKE,5,7,173,229
2019-03-29,P. MUARA ANGKE,7,16,379,292
2019-03-30,P. MUARA ANGKE,16,6,1713,302
2019-03-31,P. MUARA ANGKE,6,15,390,1788
2019-03-01,MARINA ANCOL,10,10,337,339
2019-03-02,MARINA ANCOL,20,20,692,703
2019-03-03,MARINA ANCOL,12,12,306,302
2019-03-04,MARINA ANCOL,13,13,278,279
2019-03-05,MARINA ANCOL,12,12,239,188
2019-03-06,MARINA ANCOL,11,11,225,364
2019-03-07,MARINA ANCOL,20,20,503,416
2019-03-08,MARINA ANCOL,10,10,225,281
2019-03-09,MARINA ANCOL,21,21,791,726
2019-03-10,MARINA ANCOL,20,20,425,600
2019-03-11,MARINA ANCOL,8,8,441,362
2019-03-12,MARINA ANCOL,12,12,356,323
2019-03-13,MARINA ANCOL,11,11,332,326
2019-03-14,MARINA ANCOL,10,10,331,348
2019-03-15,MARINA ANCOL,10,10,281,286
2019-03-16,MARINA ANCOL,21,21,864,330
2019-03-17,MARINA ANCOL,12,12,256,578
2019-03-18,MARINA ANCOL,14,14,438,334
2019-03-19,MARINA ANCOL,17,17,403,379
2019-03-20,MARINA ANCOL,13,13,487,481
2019-03-21,MARINA ANCOL,11,11,294,270
2019-03-22,MARINA ANCOL,8,8,254,237
2019-03-23,MARINA ANCOL,25,25,845,992
2019-03-24,MARINA ANCOL,22,22,519,566
2019-03-25,MARINA ANCOL,11,11,444,403
2019-03-26,MARINA ANCOL,13,13,278,292
2019-03-27,MARINA ANCOL,17,17,630,927
2019-03-28,MARINA ANCOL,16,16,684,671
2019-03-29,MARINA ANCOL,18,18,578,765
2019-03-30,MARINA ANCOL,15,15,453,576
2019-03-31,MARINA ANCOL,16,16,689,980
2019-03-01,UNTUNG JAWA,6,4,116,110
2019-03-02,UNTUNG JAWA,9,8,279,308
2019-03-03,UNTUNG JAWA,9,8,314,384
2019-03-04,UNTUNG JAWA,5,3,141,135
2019-03-05,UNTUNG JAWA,6,4,98,86
2019-03-06,UNTUNG JAWA,7,5,133,128
2019-03-07,UNTUNG JAWA,11,13,386,322
2019-03-08,UNTUNG JAWA,6,5,108,87
2019-03-09,UNTUNG JAWA,8,12,217,307
2019-03-10,UNTUNG JAWA,12,12,519,406
2019-03-11,UNTUNG JAWA,5,4,118,93
2019-03-12,UNTUNG JAWA,6,14,121,132
2019-03-13,UNTUNG JAWA,6,4,104,111
2019-03-14,UNTUNG JAWA,6,4,86,92
2019-03-15,UNTUNG JAWA,4,3,70,68
2019-03-16,UNTUNG JAWA,9,7,193,278
2019-03-17,UNTUNG JAWA,10,10,447,443
