tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-05-01,P. MUARA ANGKE,12,7,1142,428
2019-05-02,P. MUARA ANGKE,8,10,461,571
2019-05-03,P. MUARA ANGKE,8,19,449,868
2019-05-04,P. MUARA ANGKE,19,8,1090,594
2019-05-05,P. MUARA ANGKE,8,13,420,1162
2019-05-06,P. MUARA ANGKE,4,3,122,216
2019-05-07,P. MUARA ANGKE,5,7,154,129
2019-05-08,P. MUARA ANGKE,4,8,124,156
2019-05-09,P. MUARA ANGKE,5,5,152,106
2019-05-10,P. MUARA ANGKE,2,7,103,114
2019-05-11,P. MUARA ANGKE,9,2,440,48
2019-05-12,P. MUARA ANGKE,2,4,186,321
2019-05-13,P. MUARA ANGKE,5,6,117,171
2019-05-14,P. MUARA ANGKE,5,6,151,107
2019-05-15,P. MUARA ANGKE,5,4,100,150
2019-05-16,P. MUARA ANGKE,4,5,105,112
2019-05-17,P. MUARA ANGKE,5,6,150,165
2019-05-18,P. MUARA ANGKE,9,5,405,112
2019-05-19,P. MUARA ANGKE,4,8,179,402
2019-05-20,P. MUARA ANGKE,6,4,107,100
2019-05-21,P. MUARA ANGKE,5,7,106,157
2019-05-22,P. MUARA ANGKE,6,7,100,107
2019-05-23,P. MUARA ANGKE,5,5,104,145
2019-05-24,P. MUARA ANGKE,7,9,150,242
2019-05-25,P. MUARA ANGKE,10,6,376,297
2019-05-26,P. MUARA ANGKE,5,7,200,446
2019-05-27,P. MUARA ANGKE,6,5,199,222
2019-05-28,P. MUARA ANGKE,6,5,343,222
2019-05-29,P. MUARA ANGKE,6,8,308,683
2019-05-30,P. MUARA ANGKE,8,8,609,393
2019-05-31,P. MUARA ANGKE,9,0,767,0
2019-05-01,MARINA ANCOL,23,23,639,739
2019-05-02,MARINA ANCOL,21,21,535,500
2019-05-03,MARINA ANCOL,12,12,445,412
2019-05-04,MARINA ANCOL,19,19,652,511
2019-05-05,MARINA ANCOL,23,23,1263,1315
2019-05-06,MARINA ANCOL,6,6,253,239
2019-05-07,MARINA ANCOL,7,7,200,210
2019-05-08,MARINA ANCOL,7,7,229,159
2019-05-09,MARINA ANCOL,8,8,198,177
2019-05-10,MARINA ANCOL,10,10,211,237
2019-05-11,MARINA ANCOL,15,15,455,384
2019-05-12,MARINA ANCOL,12,12,240,322
2019-05-13,MARINA ANCOL,11,11,328,206
2019-05-14,MARINA ANCOL,9,9,232,174
2019-05-15,MARINA ANCOL,6,6,136,270
2019-05-16,MARINA ANCOL,7,7,270,212
2019-05-17,MARINA ANCOL,8,8,222,264
2019-05-18,MARINA ANCOL,9,9,370,310
2019-05-19,MARINA ANCOL,16,16,345,333
2019-05-20,MARINA ANCOL,15,15,347,288
2019-05-21,MARINA ANCOL,8,8,158,229
2019-05-22,MARINA ANCOL,7,7,184,133
2019-05-23,MARINA ANCOL,10,10,199,211
2019-05-24,MARINA ANCOL,15,15,563,553
2019-05-25,MARINA ANCOL,12,12,613,541
2019-05-26,MARINA ANCOL,19,19,562,465
2019-05-27,MARINA ANCOL,10,10,456,356
2019-05-28,MARINA ANCOL,13,13,521,432
2019-05-29,MARINA ANCOL,11,11,496,369
2019-05-30,MARINA ANCOL,7,7,465,365
2019-05-31,MARINA ANCOL,9,9,561,462
2019-05-01,UNTUNG JAWA,15,15,905,911
2019-05-02,UNTUNG JAWA,6,5,157,134
2019-05-03,UNTUNG JAWA,7,5,146,152
2019-05-04,UNTUNG JAWA,12,12,362,392
2019-05-05,UNTUNG JAWA,12,9,500,378
2019-05-06,UNTUNG JAWA,4,3,104,119
2019-05-07,UNTUNG JAWA,6,4,120,104
2019-05-08,UNTUNG JAWA,5,3,132,77
2019-05-09,UNTUNG JAWA,5,3,116,112
2019-05-10,UNTUNG JAWA,4,3,92,72
2019-05-11,UNTUNG JAWA,6,5,89,102
2019-05-12,UNTUNG JAWA,6,5,135,109
2019-05-13,UNTUNG JAWA,5,3,78,73
2019-05-14,UNTUNG JAWA,5,4,69,54
2019-05-15,UNTUNG JAWA,5,4,107,118
2019-05-16,UNTUNG JAWA,7,5,83,79
2019-05-17,UNTUNG JAWA,4,3,62,68
2019-05-18,UNTUNG JAWA,6,4,101,94
2019-05-19,UNTUNG JAWA,8,7,164,151
2019-05-20,UNTUNG JAWA,5,4,96,109
2019-05-21,UNTUNG JAWA,5,4,88,86
2019-05-22,UNTUNG JAWA,6,4,112,117
2019-05-23,UNTUNG JAWA,5,3,79,83
2019-05-24,UNTUNG JAWA,6,5,96,85
2019-05-25,UNTUNG JAWA,7,5,207,187
2019-05-26,UNTUNG JAWA,7,5,168,179
2019-05-27,UNTUNG JAWA,6,4,126,99
2019-05-28,UNTUNG JAWA,7,5,122,118
2019-05-29,UNTUNG JAWA,6,4,99,94
2019-05-30,UNTUNG JAWA,7,6,154,123
2019-05-31,UNTUNG JAWA,6,7,146,163
2019-05-01,LANCANG,4,4,87,94
2019-05-02,LANCANG,2,2,98,42
2019-05-03,LANCANG,4,4,83,82
2019-05-04,LANCANG,4,4,114,139
2019-05-05,LANCANG,4,4,121,88
2019-05-06,LANCANG,1,1,13,28
2019-05-07,LANCANG,4,4,61,67
2019-05-08,LANCANG,4,4,72,77
2019-05-09,LANCANG,4,4,68,76
2019-05-10,LANCANG,4,4,48,57
2019-05-11,LANCANG,4,4,63,54
2019-05-12,LANCANG,3,3,96,90
2019-05-13,LANCANG,4,4,79,71
2019-05-14,LANCANG,4,4,72,78
2019-05-15,LANCANG,4,4,49,83
2019-05-16,LANCANG,4,4,52,51
2019-05-17,LANCANG,4,4,35,56
2019-05-18,LANCANG,4,4,53,117
2019-05-19,LANCANG,4,4,76,68
2019-05-20,LANCANG,4,4,66,81
2019-05-21,LANCANG,4,4,72,69
2019-05-22,LANCANG,4,4,59,65
2019-05-23,LANCANG,4,4,53,84
2019-05-24,LANCANG,4,4,59,92
2019-05-25,LANCANG,4,4,82,81
2019-05-26,LANCANG,4,4,115,70
2019-05-27,LANCANG,4,4,50,46
2019-05-28,LANCANG,4,4,76,68
2019-05-29,LANCANG,4,4,151,126
2019-05-30,LANCANG,4,4,188,144
2019-05-31,LANCANG,4,4,165,145
2019-05-01,PARI,4,11,215,850
2019-05-02,PARI,4,4,207,303
2019-05-03,PARI,6,4,416,188
2019-05-04,PARI,4,6,253,360
2019-05-05,PARI,6,4,377,116
2019-05-06,PARI,3,3,89,39
2019-05-07,PARI,4,4,55,53
2019-05-08,PARI,4,3,33,54
2019-05-09,PARI,3,3,38,33
2019-05-10,PARI,3,3,59,9
2019-05-11,PARI,3,6,28,177
2019-05-12,PARI,3,3,114,41
2019-05-13,PARI,3,4,38,33
2019-05-14,PARI,3,4,24,40
2019-05-15,PARI,3,4,50,47
2019-05-16,PARI,3,3,44,43
2019-05-17,PARI,4,3,60,35
2019-05-18,PARI,3,3,46,78
2019-05-19,PARI,3,3,148,60
2019-05-20,PARI,3,3,25,30
2019-05-21,PARI,3,4,51,68
