tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-11-01,MUARA ANGKE,8,21,524,408
2019-11-02,MUARA ANGKE,22,10,3745,269
2019-11-03,MUARA ANGKE,10,26,1015,4128
2019-11-04,MUARA ANGKE,12,7,364,326
2019-11-05,MUARA ANGKE,9,8,763,392
2019-11-06,MUARA ANGKE,9,10,420,721
2019-11-07,MUARA ANGKE,7,12,448,515
2019-11-08,MUARA ANGKE,10,27,926,471
2019-11-09,MUARA ANGKE,44,9,8445,538
2019-11-10,MUARA ANGKE,8,41,484,8330
2019-11-11,MUARA ANGKE,18,8,384,641
2019-11-12,MUARA ANGKE,8,8,418,365
2019-11-13,MUARA ANGKE,9,7,383,434
2019-11-14,MUARA ANGKE,7,9,296,404
2019-11-15,MUARA ANGKE,8,24,716,366
2019-11-16,MUARA ANGKE,26,10,4108,320
2019-11-17,MUARA ANGKE,8,26,516,4163
2019-11-18,MUARA ANGKE,13,7,304,446
2019-11-19,MUARA ANGKE,9,9,273,227
2019-11-20,MUARA ANGKE,8,5,342,215
2019-11-21,MUARA ANGKE,6,9,247,320
2019-11-22,MUARA ANGKE,8,21,584,301
2019-11-23,MUARA ANGKE,21,7,2490,402
2019-11-24,MUARA ANGKE,8,19,434,2527
2019-11-25,MUARA ANGKE,11,7,413,354
2019-11-26,MUARA ANGKE,6,9,169,200
2019-11-27,MUARA ANGKE,7,8,302,373
2019-11-28,MUARA ANGKE,7,8,241,216
2019-11-29,MUARA ANGKE,8,24,420,361
2019-11-30,MUARA ANGKE,26,10,3039,236
2019-11-01,MARINA ANCOL,14,14,343,435
2019-11-02,MARINA ANCOL,15,15,681,567
2019-11-03,MARINA ANCOL,14,14,433,339
2019-11-04,MARINA ANCOL,15,15,438,429
2019-11-05,MARINA ANCOL,18,18,425,444
2019-11-06,MARINA ANCOL,16,16,349,344
2019-11-07,MARINA ANCOL,24,24,897,823
2019-11-08,MARINA ANCOL,16,16,336,480
2019-11-09,MARINA ANCOL,16,16,489,348
2019-11-10,MARINA ANCOL,11,11,197,268
2019-11-11,MARINA ANCOL,12,12,336,270
2019-11-12,MARINA ANCOL,12,12,496,402
2019-11-13,MARINA ANCOL,10,10,275,252
2019-11-14,MARINA ANCOL,8,8,237,304
2019-11-15,MARINA ANCOL,8,8,280,209
2019-11-16,MARINA ANCOL,10,10,261,301
2019-11-17,MARINA ANCOL,5,5,212,251
2019-11-18,MARINA ANCOL,13,13,383,337
2019-11-19,MARINA ANCOL,11,11,277,311
2019-11-20,MARINA ANCOL,7,7,245,244
2019-11-21,MARINA ANCOL,5,5,185,148
2019-11-22,MARINA ANCOL,10,10,253,302
2019-11-23,MARINA ANCOL,14,14,715,695
2019-11-24,MARINA ANCOL,11,11,605,540
2019-11-25,MARINA ANCOL,10,10,331,325
2019-11-26,MARINA ANCOL,9,9,559,591
2019-11-27,MARINA ANCOL,19,19,611,587
2019-11-28,MARINA ANCOL,13,13,343,435
2019-11-29,MARINA ANCOL,10,10,387,336
2019-11-30,MARINA ANCOL,14,14,328,384
2019-11-01,UNTUNG JAWA,7,5,130,125
2019-11-02,UNTUNG JAWA,7,5,209,217
2019-11-03,UNTUNG JAWA,5,4,116,101
2019-11-04,UNTUNG JAWA,5,4,103,112
2019-11-05,UNTUNG JAWA,10,8,285,356
2019-11-06,UNTUNG JAWA,10,10,512,446
2019-11-07,UNTUNG JAWA,6,5,109,103
