tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-10-01,MUARA ANGKE,12,13,373,301
2019-10-02,MUARA ANGKE,10,9,472,425
2019-10-03,MUARA ANGKE,9,10,270,362
2019-10-04,MUARA ANGKE,10,21,725,564
2019-10-05,MUARA ANGKE,27,11,3892,501
2019-10-06,MUARA ANGKE,11,25,590,3692
2019-10-07,MUARA ANGKE,13,9,463,571
2019-10-08,MUARA ANGKE,10,11,389,489
2019-10-09,MUARA ANGKE,11,10,282,300
2019-10-10,MUARA ANGKE,8,9,347,320
2019-10-11,MUARA ANGKE,10,24,592,477
2019-10-12,MUARA ANGKE,25,10,4030,422
2019-10-13,MUARA ANGKE,11,26,415,3871
2019-10-14,MUARA ANGKE,14,9,473,455
2019-10-15,MUARA ANGKE,10,13,340,468
2019-10-16,MUARA ANGKE,11,8,364,286
2019-10-17,MUARA ANGKE,8,9,340,351
2019-10-18,MUARA ANGKE,8,21,506,323
2019-10-19,MUARA ANGKE,21,10,2274,287
2019-10-20,MUARA ANGKE,10,19,374,2621
2019-10-21,MUARA ANGKE,10,7,261,345
2019-10-22,MUARA ANGKE,8,8,323,237
2019-10-23,MUARA ANGKE,11,9,961,406
2019-10-24,MUARA ANGKE,8,12,251,891
2019-10-25,MUARA ANGKE,9,18,696,372
2019-10-26,MUARA ANGKE,20,6,3131,213
2019-10-27,MUARA ANGKE,6,22,789,3429
2019-10-28,MUARA ANGKE,13,7,395,391
2019-10-29,MUARA ANGKE,9,10,334,445
2019-10-30,MUARA ANGKE,10,8,360,424
2019-10-31,MUARA ANGKE,8,10,232,303
2019-10-01,MARINA ANCOL,10,10,180,182
2019-10-02,MARINA ANCOL,5,5,179,169
2019-10-03,MARINA ANCOL,7,7,228,224
2019-10-04,MARINA ANCOL,8,8,403,356
2019-10-05,MARINA ANCOL,7,8,275,372
2019-10-06,MARINA ANCOL,13,13,259,189
2019-10-07,MARINA ANCOL,9,9,255,236
2019-10-08,MARINA ANCOL,11,11,271,236
2019-10-09,MARINA ANCOL,7,7,247,260
2019-10-10,MARINA ANCOL,9,9,211,273
2019-10-11,MARINA ANCOL,10,10,387,336
2019-10-12,MARINA ANCOL,14,14,328,384
2019-10-13,MARINA ANCOL,15,15,438,429
2019-10-14,MARINA ANCOL,18,18,425,444
2019-10-15,MARINA ANCOL,16,16,349,344
2019-10-16,MARINA ANCOL,24,24,897,823
2019-10-17,MARINA ANCOL,16,16,336,480
2019-10-18,MARINA ANCOL,16,16,489,348
2019-10-19,MARINA ANCOL,16,16,546,555
2019-10-20,MARINA ANCOL,10,10,429,452
2019-10-21,MARINA ANCOL,10,10,337,325
2019-10-22,MARINA ANCOL,21,21,928,800
2019-10-23,MARINA ANCOL,22,22,584,593
2019-10-24,MARINA ANCOL,19,19,412,896
2019-10-25,MARINA ANCOL,15,15,343,348
2019-10-26,MARINA ANCOL,18,18,382,435
2019-10-27,MARINA ANCOL,18,18,473,329
