tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-09-01,MUARA ANGKE,12,27,524,3683
2019-09-02,MUARA ANGKE,17,12,620,500
2019-09-03,MUARA ANGKE,11,10,484,256
2019-09-04,MUARA ANGKE,11,11,461,499
2019-09-05,MUARA ANGKE,10,10,338,466
2019-09-06,MUARA ANGKE,11,28,659,513
2019-09-07,MUARA ANGKE,34,11,5096,412
2019-09-08,MUARA ANGKE,12,32,549,5309
2019-09-09,MUARA ANGKE,18,10,418,357
2019-09-10,MUARA ANGKE,10,12,307,385
2019-09-11,MUARA ANGKE,11,10,311,328
2019-09-12,MUARA ANGKE,10,13,342,353
2019-09-13,MUARA ANGKE,14,25,675,435
2019-09-14,MUARA ANGKE,26,11,3318,355
2019-09-15,MUARA ANGKE,10,25,382,3483
2019-09-16,MUARA ANGKE,15,10,228,312
2019-09-17,MUARA ANGKE,11,11,337,264
2019-09-18,MUARA ANGKE,9,9,283,282
2019-09-19,MUARA ANGKE,9,10,193,304
2019-09-20,MUARA ANGKE,11,18,521,266
2019-09-21,MUARA ANGKE,22,12,2413,309
2019-09-22,MUARA ANGKE,9,19,426,2471
2019-09-23,MUARA ANGKE,13,9,254,256
2019-09-24,MUARA ANGKE,10,12,245,234
2019-09-25,MUARA ANGKE,11,10,213,214
2019-09-26,MUARA ANGKE,9,11,384,281
2019-09-27,MUARA ANGKE,12,18,618,431
2019-09-28,MUARA ANGKE,24,13,3067,418
2019-09-29,MUARA ANGKE,14,28,817,3324
2019-09-30,MUARA ANGKE,15,11,347,492
2019-09-01,MARINA ANCOL,14,14,715,695
2019-09-02,MARINA ANCOL,11,11,605,540
2019-09-03,MARINA ANCOL,10,10,331,325
2019-09-04,MARINA ANCOL,9,9,559,591
2019-09-05,MARINA ANCOL,19,19,611,587
2019-09-06,MARINA ANCOL,13,13,343,435
2019-09-07,MARINA ANCOL,10,10,387,336
2019-09-08,MARINA ANCOL,14,14,328,384
2019-09-09,MARINA ANCOL,12,12,438,429
2019-09-10,MARINA ANCOL,16,16,425,444
2019-09-11,MARINA ANCOL,8,8,349,344
2019-09-12,MARINA ANCOL,24,24,897,823
2019-09-13,MARINA ANCOL,16,16,336,480
2019-09-14,MARINA ANCOL,16,16,489,348
2019-09-15,MARINA ANCOL,14,14,546,555
2019-09-16,MARINA ANCOL,10,10,245,244
2019-09-17,MARINA ANCOL,9,9,185,148
2019-09-18,MARINA ANCOL,10,10,253,302
2019-09-19,MARINA ANCOL,7,7,213,294
2019-09-20,MARINA ANCOL,9,9,281,291
2019-09-21,MARINA ANCOL,14,14,494,204
2019-09-22,MARINA ANCOL,13,13,569,541
2019-09-23,MARINA ANCOL,11,11,715,695
2019-09-24,MARINA ANCOL,24,24,605,540
2019-09-25,MARINA ANCOL,10,10,331,325
